"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2016-17,23,CHI,NBA,SG,57,0,976,.354,20.7,.278,.076,.090,.042,.069,.722,.363,.545,.231,.417,.300,.351,.517,.904,.000,0,.303,.444,1,0,
2017-18,24,CHI,NBA,SG,77,37,2095,.417,17.6,.487,.117,.121,.125,.125,.513,.450,.607,.414,.411,.378,.386,.487,.790,.004,2,.219,.370,2,0,
2018-19,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2019-20,26,CHI,NBA,SF,36,5,488,.409,19.5,.422,.046,.152,.143,.080,.578,.510,.545,.444,.529,.579,.336,.412,.783,.000,0,.153,.429,2,0,
2020-21,27,CHI,NBA,SG,62,3,1036,.373,18.7,.418,.087,.120,.154,.058,.582,.431,.611,.400,.359,.417,.331,.400,.900,.005,2,.227,.364,0,0,
2021-22,28,2TM,NBA,SG,24,0,222,.379,21.1,.288,.061,.091,.106,.030,.712,.316,.750,.333,.143,.000,.404,.333,.895,.015,1,.426,.450,0,0,
2021-22,28,CLE,NBA,SG,22,0,204,.371,20.6,.290,.065,.081,.113,.032,.710,.278,.750,.200,.143,.000,.409,.400,.889,.016,1,.432,.474,0,0,
2021-22,28,UTA,NBA,SG,2,0,18,.500,21.6,.250,.000,.250,.000,.000,.750,1.000,,1.000,,,.333,.000,1.000,.000,0,.333,.000,0,0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,256,45,4817,.394,19.8,.419,.091,.119,.120,.090,.581,.441,.599,.390,.406,.394,.360,.455,.842,.003,5,.239,.400,5,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,14,1543,.394,19.8,.419,.091,.119,.120,.090,.581,.441,.599,.390,.406,.394,.360,.455,.842,.003,2,.239,.400,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,232,45,4595,.394,19.1,.424,.092,.120,.120,.092,.576,.444,.595,.392,.415,.399,.357,.457,.839,.003,4,.230,.395,5,0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,22,0,204,.371,20.6,.290,.065,.081,.113,.032,.710,.278,.750,.200,.143,.000,.409,.400,.889,.016,1,.432,.474,0,0,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,2,0,18,.500,21.6,.250,.000,.250,.000,.000,.750,1.000,,1.000,,,.333,.000,1.000,.000,0,.333,.000,0,0,
