"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2017-18,19,CHO,NBA,SG,63.0,0.0,854.0,0.36,19.3,0.428,0.101,0.085,0.082,0.16,0.572,0.385,0.605,0.361,0.286,0.309,0.342,0.386,0.627,0.014,6.0,0.177,0.349,4.0,0.0,
2018-19,20,CHO,NBA,SG,73.0,0.0,1258.0,0.387,17.9,0.437,0.191,0.102,0.058,0.085,0.563,0.461,0.643,0.25,0.382,0.36,0.33,0.432,0.899,0.038,21.0,0.206,0.309,6.0,0.0,
2019-20,21,CHO,NBA,SG,55.0,1.0,1169.0,0.434,14.0,0.582,0.287,0.203,0.061,0.031,0.418,0.542,0.671,0.424,0.4,0.4,0.284,0.526,0.862,0.059,27.0,0.162,0.273,5.0,0.0,
2020-21,22,CHO,NBA,SG,42.0,0.0,878.0,0.434,16.8,0.469,0.228,0.125,0.065,0.05,0.531,0.471,0.582,0.4,0.231,0.45,0.401,0.432,0.8,0.023,8.0,0.156,0.576,0.0,0.0,
2021-22,23,LAL,NBA,SG,76.0,37.0,2139.0,0.473,16.1,0.465,0.225,0.162,0.034,0.04,0.535,0.568,0.72,0.448,0.393,0.303,0.391,0.537,0.827,0.067,52.0,0.17,0.4,0.0,0.0,
2022-23,24,SAC,NBA,SG,77.0,0.0,1719.0,0.448,15.7,0.5,0.216,0.183,0.064,0.034,0.5,0.538,0.698,0.418,0.333,0.519,0.359,0.523,0.825,0.049,33.0,0.168,0.433,2.0,0.0,6MOY-5
2023-24,25,SAC,NBA,SG,72.0,0.0,1872.0,0.443,16.2,0.526,0.169,0.189,0.108,0.06,0.474,0.528,0.656,0.456,0.5,0.444,0.35,0.464,0.784,0.049,41.0,0.132,0.429,0.0,0.0,"CPOY-12,6MOY-2"
2024-25,26,SAC,NBA,SG,65.0,45.0,2054.0,0.439,16.0,0.544,0.145,0.242,0.106,0.051,0.456,0.534,0.632,0.524,0.47,0.438,0.325,0.443,0.82,0.036,29.0,0.121,0.442,2.0,0.0,
2025-26,27,SAC,NBA,SG,12.0,0.0,294.0,0.463,16.6,0.553,0.098,0.211,0.179,0.065,0.447,0.471,0.667,0.385,0.5,0.375,0.455,0.5,0.84,0.024,3.0,0.182,0.3,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,535.0,83.0,12237.0,0.434,16.5,0.5,0.191,0.173,0.077,0.059,0.5,0.516,0.663,0.44,0.415,0.39,0.352,0.479,0.81,0.044,220.0,0.16,0.396,19.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1876.0,0.434,16.5,0.5,0.191,0.173,0.077,0.059,0.5,0.516,0.663,0.44,0.415,0.39,0.352,0.479,0.81,0.044,34.0,0.16,0.396,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),CHO (4 Yrs),,233.0,1.0,4159.0,0.403,17.0,0.479,0.203,0.129,0.066,0.081,0.521,0.473,0.635,0.367,0.328,0.353,0.339,0.458,0.8,0.035,62.0,0.179,0.362,15.0,0.0,
SAC (4 Yrs),SAC (4 Yrs),SAC (4 Yrs),SAC (4 Yrs),,226.0,45.0,5939.0,0.444,16.1,0.526,0.171,0.206,0.098,0.05,0.474,0.53,0.665,0.47,0.457,0.453,0.349,0.475,0.811,0.044,106.0,0.142,0.427,4.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,76.0,37.0,2139.0,0.473,16.1,0.465,0.225,0.162,0.034,0.04,0.535,0.568,0.72,0.448,0.393,0.303,0.391,0.537,0.827,0.067,52.0,0.17,0.4,0.0,0.0,
