Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,22,DEN,NBA,PG,3.0,0.0,25.0,5.8,8.6,0.667,0.0,1.4,0.0,5.8,7.2,0.8,0.667,2.9,2.9,1.0,0.0,2.9,2.9,10.1,4.3,0.0,1.4,1.4,14.4,
2018-19,23,DEN,NBA,PG,82.0,6.0,1970.0,6.3,12.8,0.493,1.7,4.1,0.414,4.6,8.7,0.531,0.56,1.2,1.5,0.802,0.6,2.9,3.5,5.4,1.3,0.1,1.0,1.9,15.6,6MOY-9
2019-20,24,DEN,NBA,PG,73.0,12.0,1636.0,5.7,12.5,0.459,1.4,3.8,0.378,4.3,8.7,0.495,0.517,1.7,2.0,0.843,0.5,2.5,3.0,5.6,1.2,0.4,1.2,1.6,14.5,
2020-21,25,DEN,NBA,PG,47.0,13.0,1196.0,5.6,11.6,0.481,1.5,4.0,0.381,4.1,7.6,0.534,0.547,1.7,2.2,0.795,0.3,2.6,2.9,4.5,1.0,0.4,1.0,1.4,14.5,
2021-22,26,DEN,NBA,PG,75.0,74.0,2239.0,6.0,12.4,0.484,2.0,5.0,0.395,4.0,7.4,0.545,0.564,1.2,1.4,0.869,0.4,3.2,3.6,5.4,0.9,0.2,1.3,1.5,15.2,
2022-23,27,WAS,NBA,PG,62.0,61.0,1695.0,5.2,10.9,0.48,1.7,4.3,0.382,3.6,6.6,0.543,0.555,1.4,1.6,0.831,0.6,3.9,4.5,6.9,0.9,0.3,1.3,1.6,13.5,
2023-24,28,2TM,NBA,PG,33.0,0.0,476.0,4.7,11.6,0.405,2.0,5.3,0.386,2.6,6.3,0.422,0.493,1.0,1.4,0.684,0.5,3.8,4.3,5.2,1.4,0.7,0.5,1.1,12.4,
2023-24,28,DET,NBA,PG,6.0,0.0,68.0,6.4,17.5,0.364,1.1,5.8,0.182,5.3,11.6,0.455,0.394,0.5,1.1,0.5,1.1,5.3,6.4,4.2,0.5,0.5,1.1,0.5,14.3,
2023-24,28,MIN,NBA,PG,27.0,0.0,408.0,4.4,10.6,0.417,2.2,5.2,0.424,2.2,5.4,0.41,0.521,1.1,1.5,0.706,0.4,3.5,4.0,5.4,1.6,0.7,0.4,1.1,12.1,
2024-25,29,PHO,NBA,PG,45.0,0.0,571.0,5.2,12.3,0.426,2.0,5.4,0.36,3.3,6.9,0.477,0.505,2.3,2.6,0.857,0.8,3.5,4.2,4.6,1.3,0.2,1.3,1.5,14.7,
2025-26,30,IND,NBA,PG,6.0,0.0,65.0,3.9,11.1,0.35,1.1,4.4,0.25,2.8,6.6,0.417,0.4,1.1,2.2,0.5,0.6,3.3,3.9,5.0,0.6,0.6,1.1,1.7,10.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,426.0,166.0,9873.0,5.7,12.1,0.473,1.7,4.4,0.388,4.0,7.7,0.522,0.544,1.4,1.7,0.824,0.5,3.1,3.6,5.5,1.1,0.3,1.1,1.6,14.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (5 Yrs),DEN (5 Yrs),DEN (5 Yrs),DEN (5 Yrs),,280.0,105.0,7066.0,6.0,12.4,0.481,1.7,4.3,0.394,4.3,8.1,0.527,0.549,1.4,1.7,0.83,0.5,2.8,3.3,5.3,1.1,0.2,1.1,1.6,15.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,62.0,61.0,1695.0,5.2,10.9,0.48,1.7,4.3,0.382,3.6,6.6,0.543,0.555,1.4,1.6,0.831,0.6,3.9,4.5,6.9,0.9,0.3,1.3,1.6,13.5,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,45.0,0.0,571.0,5.2,12.3,0.426,2.0,5.4,0.36,3.3,6.9,0.477,0.505,2.3,2.6,0.857,0.8,3.5,4.2,4.6,1.3,0.2,1.3,1.5,14.7,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,27.0,0.0,408.0,4.4,10.6,0.417,2.2,5.2,0.424,2.2,5.4,0.41,0.521,1.1,1.5,0.706,0.4,3.5,4.0,5.4,1.6,0.7,0.4,1.1,12.1,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,6.0,0.0,68.0,6.4,17.5,0.364,1.1,5.8,0.182,5.3,11.6,0.455,0.394,0.5,1.1,0.5,1.1,5.3,6.4,4.2,0.5,0.5,1.1,0.5,14.3,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,6.0,0.0,65.0,3.9,11.1,0.35,1.1,4.4,0.25,2.8,6.6,0.417,0.4,1.1,2.2,0.5,0.6,3.3,3.9,5.0,0.6,0.6,1.1,1.7,10.0,
