"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2017-18,19.0,BOS,NBA,44:01,11.0,18.0,3.0,7.0,10.0,15.0,11.0,12.0,2.0,8.0,10.0,5.0,4.0,2.0,5.0,6.0,28.0,23.0
2018-19,20.0,BOS,NBA,38:44,11.0,20.0,3.0,6.0,8.0,14.0,9.0,12.0,2.0,9.0,11.0,4.0,3.0,3.0,4.0,4.0,26.0,20.0
2019-20,21.0,BOS,NBA,51:13,12.0,26.0,8.0,12.0,9.0,16.0,14.0,14.0,3.0,13.0,15.0,11.0,3.0,4.0,6.0,4.0,34.0,28.5
2020-21,22.0,BOS,NBA,41:29,16.0,30.0,5.0,11.0,11.0,19.0,17.0,17.0,1.0,8.0,9.0,7.0,2.0,2.0,4.0,5.0,50.0,41.8
2021-22,23.0,BOS,NBA,45:34,17.0,32.0,7.0,15.0,10.0,18.0,14.0,16.0,3.0,11.0,13.0,13.0,6.0,4.0,7.0,6.0,46.0,31.0
2022-23,24.0,BOS,NBA,47:14,17.0,28.0,6.0,13.0,11.0,20.0,15.0,15.0,4.0,14.0,18.0,11.0,2.0,4.0,5.0,4.0,51.0,46.0
2023-24,25.0,BOS,NBA,45:32,12.0,26.0,5.0,13.0,10.0,18.0,10.0,12.0,3.0,12.0,13.0,12.0,4.0,3.0,6.0,5.0,36.0,33.3
2024-25,26.0,BOS,NBA,44:14,16.0,28.0,7.0,16.0,9.0,15.0,14.0,14.0,3.0,16.0,16.0,10.0,4.0,2.0,7.0,4.0,42.0,35.4
Career,,,,51:13,17.0,32.0,8.0,16.0,11.0,20.0,17.0,17.0,4.0,16.0,18.0,13.0,6.0,4.0,7.0,6.0,51.0,46.0
,,,,,,,,,,,,,,,,,,,,,,
8 Seasons,,BOS,NBA,51:13,17.0,32.0,8.0,16.0,11.0,20.0,17.0,17.0,4.0,16.0,18.0,13.0,6.0,4.0,7.0,6.0,51.0,46.0
