"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Mikal Bridges,,8.9,8.0,7.5,5.7,4.8,4.2,2.9
Pascal Siakam,94.5,9.3,8.1,7.8,5.4,4.7,4.2,1.6
Scott Wedman,92.5,8.6,7.8,7.1,6.0,4.9,4.8,4.7
Clifford Robinson,91.1,8.7,8.0,7.5,6.8,4.6,4.2,0.3
Jim McMillian,91.0,8.9,7.9,7.8,6.4,6.0,2.6,2.5
Charles Smith,90.4,9.4,7.4,6.6,4.8,4.4,4.0,2.4
Greg Ballard,90.3,9.4,7.9,6.9,6.9,5.6,3.9,2.0
Frank Ramsey,90.2,10.0,7.3,6.5,5.9,5.3,4.0,3.3
Truck Robinson,90.1,7.6,7.3,6.5,6.0,5.1,4.3,2.7
Udonis Haslem,90.0,9.2,7.0,6.0,5.7,5.1,4.8,2.5
Cincy Powell,90.0,8.1,7.0,6.8,6.4,5.4,4.3,3.0
