"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2018-19,22,MIL,NBA,SG,27.0,0.0,411.0,52.0,44.0,4.0,0.0,0.0,11.1,2.9,9.0,6.0,19.0,2.0,4.0,5.0,72.0,2.0,3.0,
2019-20,23,MIL,NBA,SG,66.0,24.0,1520.0,33.0,64.0,3.0,0.0,0.0,13.3,5.8,49.0,22.0,47.0,11.0,32.0,21.0,360.0,4.0,27.0,
2020-21,24,MIL,NBA,SG,66.0,66.0,1814.0,8.0,84.0,9.0,0.0,0.0,7.3,3.7,52.0,19.0,49.0,12.0,26.0,17.0,472.0,3.0,31.0,
2021-22,25,2TM,NBA,SG,42.0,1.0,1006.0,8.0,69.0,22.0,1.0,0.0,-4.8,-2.4,41.0,26.0,35.0,4.0,19.0,16.0,269.0,2.0,11.0,
2021-22,25,MIL,NBA,SG,17.0,0.0,341.0,15.0,76.0,9.0,0.0,0.0,-5.6,-9.6,13.0,11.0,14.0,3.0,5.0,4.0,67.0,1.0,6.0,
2021-22,25,SAC,NBA,SG,25.0,1.0,665.0,5.0,66.0,28.0,2.0,0.0,-4.3,1.3,28.0,15.0,21.0,1.0,14.0,12.0,202.0,1.0,5.0,
2022-23,26,GSW,NBA,SG,72.0,36.0,1894.0,10.0,79.0,10.0,0.0,0.0,3.2,2.6,71.0,17.0,52.0,11.0,27.0,34.0,612.0,7.0,16.0,
2023-24,27,NYK,NBA,SG,81.0,63.0,2360.0,1.0,77.0,21.0,0.0,0.0,3.1,-4.1,61.0,25.0,76.0,12.0,40.0,18.0,504.0,8.0,32.0,
2024-25,28,MIN,NBA,SG,62.0,10.0,1606.0,71.0,29.0,0.0,0.0,0.0,6.0,1.7,66.0,24.0,55.0,5.0,22.0,16.0,526.0,3.0,22.0,
2025-26,29,MIN,NBA,SG,15.0,15.0,461.0,37.0,61.0,2.0,0.0,0.0,11.1,8.8,11.0,9.0,17.0,2.0,9.0,5.0,132.0,4.0,2.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,431.0,215.0,11072.0,22.0,67.0,10.0,0.0,0.0,5.6,1.5,360.0,148.0,350.0,59.0,179.0,132.0,2947.0,33.0,144.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,41.0,2107.0,22.0,67.0,10.0,0.0,0.0,5.6,1.5,68.0,28.0,67.0,11.0,34.0,25.0,561.0,6.0,27.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),,176.0,90.0,4086.0,22.0,72.0,6.0,0.0,0.0,8.9,3.3,123.0,58.0,129.0,28.0,67.0,47.0,971.0,10.0,67.0,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,77.0,25.0,2067.0,63.0,36.0,1.0,0.0,0.0,7.2,3.3,77.0,33.0,72.0,7.0,31.0,21.0,658.0,7.0,24.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,81.0,63.0,2360.0,1.0,77.0,21.0,0.0,0.0,3.1,-4.1,61.0,25.0,76.0,12.0,40.0,18.0,504.0,8.0,32.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,72.0,36.0,1894.0,10.0,79.0,10.0,0.0,0.0,3.2,2.6,71.0,17.0,52.0,11.0,27.0,34.0,612.0,7.0,16.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,25.0,1.0,665.0,5.0,66.0,28.0,2.0,0.0,-4.3,1.3,28.0,15.0,21.0,1.0,14.0,12.0,202.0,1.0,5.0,
