"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2020-21,21,NYK,NBA,SF,1.0,0.0,4.0,0.0,0.0,12.0,88.0,0.0,128.6,138.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
2021-22,22,ATL,NBA,SF,2.0,0.0,9.0,0.0,100.0,0.0,0.0,0.0,17.7,32.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,25,GSW,NBA,SF,5.0,0.0,38.0,0.0,21.0,79.0,0.0,0.0,33.6,39.2,2.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,3.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,8.0,0.0,51.0,0.0,33.0,60.0,7.0,0.0,38.2,45.8,3.0,1.0,1.0,0.0,4.0,0.0,12.0,1.0,3.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,523.0,0.0,33.0,60.0,7.0,0.0,38.2,45.8,31.0,10.0,10.0,0.0,41.0,0.0,123.0,10.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,5.0,0.0,38.0,0.0,21.0,79.0,0.0,0.0,33.6,39.2,2.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,3.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,9.0,0.0,100.0,0.0,0.0,0.0,17.7,32.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,1.0,0.0,4.0,0.0,0.0,12.0,88.0,0.0,128.6,138.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
