"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Grant Williams,,5.1,4.4,2.6,1.6,1.1,0.7
Fred Hetzel,93.3,5.1,4.5,2.9,2.0,0.9,0.5
Nemanja Bjelica,91.8,5.3,4.5,2.8,1.9,1.5,0.9
Brandan Wright,90.1,5.1,4.1,3.5,1.9,1.1,0.8
Glen Davis,88.8,4.9,3.7,2.5,1.7,1.6,0.8
Kwame Brown,88.2,4.9,3.6,2.5,1.9,0.8,0.6
Bob Harris,87.8,5.0,4.3,3.4,1.9,1.0,
Cornell Warner,87.8,4.7,4.3,3.5,1.7,0.6,0.6
Larry McNeill,86.7,4.4,4.3,2.3,1.5,0.7,0.1
Kyle O'Quinn,86.6,4.8,3.9,2.5,1.6,1.6,1.4
Ed Conlin,86.5,4.7,4.3,2.0,2.0,0.7,0.5
