"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2020-21,21.0,MIA,NBA,41:34,10.0,16.0,0.0,1.0,10.0,16.0,6.0,7.0,6.0,8.0,13.0,3.0,2.0,3.0,3.0,6.0,23.0,17.9
2021-22,22.0,TOR,NBA,40:01,9.0,15.0,5.0,8.0,7.0,11.0,6.0,9.0,6.0,12.0,15.0,4.0,2.0,4.0,5.0,6.0,21.0,18.4
2022-23,23.0,TOR,NBA,37:18,11.0,16.0,3.0,5.0,10.0,14.0,8.0,10.0,5.0,18.0,22.0,4.0,5.0,3.0,3.0,6.0,27.0,24.8
2023-24,24.0,TOT,NBA,43:21,9.0,16.0,3.0,4.0,9.0,14.0,7.0,8.0,10.0,13.0,17.0,5.0,4.0,5.0,4.0,6.0,23.0,24.9
2023-24,24.0,TOR,NBA,24:34,7.0,11.0,3.0,4.0,5.0,10.0,3.0,4.0,6.0,9.0,10.0,5.0,2.0,3.0,4.0,6.0,17.0,14.9
2023-24,24.0,NYK,NBA,43:21,9.0,16.0,2.0,4.0,9.0,14.0,7.0,8.0,10.0,13.0,17.0,5.0,4.0,5.0,4.0,5.0,23.0,24.9
2024-25,25.0,NYK,NBA,46:04,12.0,18.0,1.0,4.0,12.0,18.0,3.0,5.0,7.0,11.0,15.0,4.0,4.0,4.0,3.0,6.0,26.0,25.1
2025-26,26.0,SAC,NBA,34:01,6.0,12.0,1.0,2.0,5.0,11.0,2.0,4.0,5.0,7.0,10.0,3.0,3.0,2.0,2.0,4.0,15.0,14.9
Career,,,,46:04,12.0,18.0,5.0,8.0,12.0,18.0,8.0,10.0,10.0,18.0,22.0,5.0,5.0,5.0,5.0,6.0,27.0,25.1
,,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,TOR,NBA,40:01,11.0,16.0,5.0,8.0,10.0,14.0,8.0,10.0,6.0,18.0,22.0,5.0,5.0,4.0,5.0,6.0,27.0,24.8
2 Seasons,,NYK,NBA,46:04,12.0,18.0,2.0,4.0,12.0,18.0,7.0,8.0,10.0,13.0,17.0,5.0,4.0,5.0,4.0,6.0,26.0,25.1
1 Season,,MIA,NBA,41:34,10.0,16.0,0.0,1.0,10.0,16.0,6.0,7.0,6.0,8.0,13.0,3.0,2.0,3.0,3.0,6.0,23.0,17.9
1 Season,,SAC,NBA,34:01,6.0,12.0,1.0,2.0,5.0,11.0,2.0,4.0,5.0,7.0,10.0,3.0,3.0,2.0,2.0,4.0,15.0,14.9
