Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,19,OKC,NBA,PG,65.0,49.0,1778.0,4.6,12.4,0.368,2.1,6.3,0.335,2.4,6.1,0.402,0.454,2.0,2.7,0.748,0.5,3.8,4.3,4.6,1.1,0.2,2.9,2.6,13.3,
2021-22,20,OKC,NBA,PG,51.0,7.0,908.0,4.7,12.6,0.375,1.7,5.9,0.293,3.0,6.6,0.449,0.445,3.1,4.0,0.79,0.8,4.4,5.2,4.4,1.2,0.4,2.6,2.7,14.3,
2022-23,21,CHO,NBA,PG,44.0,7.0,854.0,4.3,10.7,0.402,1.2,4.0,0.295,3.1,6.7,0.465,0.457,2.7,3.1,0.851,0.6,4.6,5.2,6.4,1.6,0.5,2.5,2.6,12.4,
2023-24,22,2TM,NBA,PG,17.0,1.0,213.0,3.4,11.8,0.286,0.8,5.1,0.167,2.5,6.8,0.375,0.321,2.4,2.5,0.933,0.7,3.4,4.1,4.7,1.2,0.0,3.0,3.5,10.0,
2023-24,22,CHO,NBA,PG,13.0,1.0,200.0,3.4,11.9,0.288,0.9,5.4,0.167,2.5,6.5,0.389,0.326,2.0,2.2,0.917,0.7,3.4,4.1,5.0,1.3,0.0,2.7,3.2,9.7,
2023-24,22,PHO,NBA,PG,4.0,0.0,13.0,2.8,11.1,0.25,0.0,0.0,,2.8,11.1,0.25,0.25,8.3,8.3,1.0,0.0,2.8,2.8,0.0,0.0,0.0,8.3,8.3,13.8,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,177.0,64.0,3753.0,4.5,12.0,0.372,1.7,5.6,0.31,2.7,6.4,0.427,0.445,2.5,3.1,0.793,0.6,4.1,4.7,5.0,1.3,0.3,2.7,2.6,13.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,116.0,56.0,2686.0,4.6,12.5,0.371,2.0,6.2,0.322,2.6,6.3,0.419,0.451,2.4,3.1,0.766,0.6,4.0,4.6,4.5,1.2,0.3,2.8,2.6,13.7,
CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),,57.0,8.0,1054.0,4.1,10.9,0.378,1.1,4.3,0.264,3.0,6.7,0.451,0.43,2.5,2.9,0.86,0.6,4.4,5.0,6.1,1.5,0.4,2.5,2.7,11.9,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,0.0,13.0,2.8,11.1,0.25,0.0,0.0,,2.8,11.1,0.25,0.25,8.3,8.3,1.0,0.0,2.8,2.8,0.0,0.0,0.0,8.3,8.3,13.8,
