"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2020-21,23.0,ATL,NBA,27:14,7.0,11.0,4.0,5.0,5.0,6.0,4.0,4.0,2.0,4.0,5.0,7.0,2.0,2.0,2.0,2.0,20.0,19.2
2021-22,24.0,ATL,NBA,33:28,7.0,11.0,4.0,6.0,5.0,9.0,3.0,3.0,4.0,7.0,11.0,3.0,2.0,0.0,2.0,2.0,19.0,17.4
2022-23,25.0,POR,NBA,40:43,9.0,17.0,4.0,7.0,5.0,10.0,5.0,5.0,1.0,7.0,8.0,12.0,3.0,1.0,3.0,4.0,24.0,23.9
2023-24,26.0,TOT,NBA,36:58,8.0,15.0,3.0,7.0,8.0,13.0,3.0,3.0,3.0,5.0,5.0,12.0,2.0,2.0,3.0,4.0,18.0,16.7
2023-24,26.0,POR,NBA,36:58,8.0,15.0,3.0,7.0,8.0,13.0,3.0,3.0,3.0,5.0,5.0,12.0,2.0,2.0,3.0,4.0,18.0,16.7
2023-24,26.0,LAL,NBA,16:10,5.0,6.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,12.0,12.2
Career,,,,40:43,9.0,17.0,4.0,7.0,8.0,13.0,5.0,5.0,4.0,7.0,11.0,12.0,3.0,2.0,3.0,4.0,24.0,23.9
,,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,ATL,NBA,33:28,7.0,11.0,4.0,6.0,5.0,9.0,4.0,4.0,4.0,7.0,11.0,7.0,2.0,2.0,2.0,2.0,20.0,19.2
2 Seasons,,POR,NBA,40:43,9.0,17.0,4.0,7.0,8.0,13.0,5.0,5.0,3.0,7.0,8.0,12.0,3.0,2.0,3.0,4.0,24.0,23.9
1 Season,,LAL,NBA,16:10,5.0,6.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,12.0,12.2
