"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2020-21,22,MEM,NBA,PF,59.0,12.0,1085.0,0.559,0.62,0.338,0.595,0.642,0.605,0.177,0.217,120.0,117.0,92.0,111.0,83.0,106.0,72.0,55.0,34.3,21.4,
2021-22,23,MEM,NBA,PF,53.0,2.0,701.0,0.454,0.527,0.204,0.477,0.648,0.51,0.329,0.227,98.0,99.0,58.0,90.0,84.0,90.0,132.0,57.0,-23.7,-27.9,
2022-23,24,MEM,NBA,C,61.0,29.0,1180.0,0.614,0.632,0.267,0.621,0.551,0.621,0.291,0.049,129.0,115.0,74.0,114.0,70.0,107.0,109.0,13.0,46.3,27.7,
2023-24,25,2TM,NBA,C,54.0,15.0,974.0,0.434,0.51,0.247,0.47,0.44,0.472,0.179,0.29,91.0,94.0,68.0,86.0,56.0,81.0,73.0,74.0,-42.9,-65.1,
2023-24,25,MEM,NBA,C,34.0,13.0,700.0,0.408,0.469,0.226,0.437,0.419,0.44,0.202,0.249,86.0,86.0,62.0,80.0,53.0,76.0,83.0,63.0,-46.8,-65.0,
2023-24,25,BOS,NBA,PF,20.0,2.0,274.0,0.515,0.684,0.286,0.576,0.571,0.579,0.106,0.424,109.0,125.0,78.0,105.0,73.0,100.0,43.0,107.0,3.9,-0.1,
2024-25,26,BOS,NBA,C,33.0,2.0,231.0,0.245,0.381,0.156,0.292,0.75,0.31,0.075,0.604,52.0,70.0,43.0,54.0,96.0,54.0,31.0,143.0,-26.6,-29.1,
2025-26,27,BOS,NBA,C,9.0,1.0,95.0,0.481,0.714,0.231,0.537,,0.537,0.0,0.481,103.0,130.0,64.0,99.0,,92.0,0.0,116.0,-0.4,-2.5,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,269.0,61.0,4266.0,0.508,0.579,0.251,0.536,0.577,0.546,0.226,0.216,108.0,107.0,69.0,99.0,74.0,95.0,89.0,54.0,-13.0,-75.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (4 Yrs),MEM (4 Yrs),MEM (4 Yrs),MEM (4 Yrs),,207.0,56.0,3666.0,0.522,0.577,0.264,0.545,0.574,0.556,0.248,0.176,111.0,107.0,73.0,101.0,74.0,97.0,98.0,45.0,10.1,-43.8,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,62.0,5.0,600.0,0.411,0.603,0.219,0.466,0.636,0.474,0.075,0.5,87.0,110.0,60.0,85.0,81.0,82.0,31.0,122.0,-23.1,-31.7,
