"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2020-21,19.0,GSW,NBA,34:35,9.0,15.0,3.0,4.0,9.0,13.0,5.0,8.0,5.0,9.0,11.0,4.0,2.0,4.0,5.0,6.0,25.0,18.5
2022-23,21.0,TOT,NBA,34:16,12.0,15.0,1.0,3.0,11.0,14.0,6.0,8.0,6.0,10.0,14.0,3.0,1.0,3.0,4.0,6.0,30.0,26.7
2022-23,21.0,GSW,NBA,27:48,12.0,14.0,1.0,1.0,11.0,13.0,5.0,8.0,3.0,6.0,7.0,3.0,1.0,2.0,2.0,5.0,30.0,26.7
2022-23,21.0,DET,NBA,34:16,10.0,15.0,1.0,3.0,10.0,14.0,6.0,7.0,6.0,10.0,14.0,3.0,1.0,3.0,4.0,6.0,23.0,21.8
2023-24,22.0,DET,NBA,40:08,11.0,17.0,0.0,1.0,11.0,17.0,7.0,8.0,6.0,11.0,17.0,5.0,2.0,3.0,4.0,6.0,24.0,22.2
2024-25,23.0,IND,NBA,4:38,2.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3
2025-26,24.0,IND,NBA,19:51,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0,2.4
Career,,,,40:08,12.0,17.0,3.0,4.0,11.0,17.0,7.0,8.0,6.0,11.0,17.0,5.0,2.0,4.0,5.0,6.0,30.0,26.7
,,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,DET,NBA,40:08,11.0,17.0,1.0,3.0,11.0,17.0,7.0,8.0,6.0,11.0,17.0,5.0,2.0,3.0,4.0,6.0,24.0,22.2
2 Seasons,,GSW,NBA,34:35,12.0,15.0,3.0,4.0,11.0,13.0,5.0,8.0,5.0,9.0,11.0,4.0,2.0,4.0,5.0,6.0,30.0,26.7
2 Seasons,,IND,NBA,19:51,2.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,2.0,6.0,4.3
