"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Cade Cunningham,,5.9,1.8,-0.1,-0.5,,
Smush Parker,78.1,5.8,2.3,0.1,-0.1,-0.6,
Walt Kirk,69.6,5.0,2.3,0.4,,,
Keon Ellis,69.4,5.0,2.3,0.2,,,
Ty Jerome,69.0,5.9,2.1,1.3,0.5,0.0,0.0
Mike Barrett,68.5,4.9,2.7,-0.1,,,
Ernie Calverley,68.3,5.5,0.7,-0.5,,,
Bobby Rascoe,64.8,4.2,1.9,-0.2,,,
Michael Dickerson,61.2,5.5,2.2,1.8,0.1,-0.1,
Mel Riebe,61.2,4.2,2.2,0.0,,,
Earl Shannon,61.1,7.0,0.6,0.0,,,
