"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jalen Johnson,,3.8,2.4,2.1,0.0,,
Walter Berry,92.3,3.4,2.4,2.3,,,
Zeke Zawoluk,91.3,3.9,2.5,1.7,,,
Sam Williams,88.8,3.7,2.7,2.6,-0.1,,
Jaylin Williams,88.2,3.3,2.4,1.9,,,
Don Boven,87.9,3.8,2.2,1.5,,,
Mike Sweetney,84.3,3.8,2.1,1.4,0.4,,
Mickey Davis,82.3,3.4,2.6,2.3,0.4,0.3,-0.1
Mike Jackson,82.0,3.4,3.1,2.4,0.2,,
Harold Pressley,82.0,4.8,2.3,2.2,0.7,,
Greg Kelser,81.9,3.9,2.5,1.4,0.8,0.1,0.0
