"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ryan Rollins,,1.7,0.3,-0.3
Kevin Edwards,88.3,1.6,0.3,-0.2
Rickey Green,85.9,1.8,0.3,-0.1
Bobby Wilson,84.5,1.6,0.2,-0.1
Stan Noszka,84.2,1.8,0.4,-0.2
Svi Mykhailiuk,81.7,1.6,0.3,-0.1
Davon Reed,81.5,1.6,0.1,-0.3
Johnny Juzang,80.1,1.6,0.4,-0.2
Bernard Robinson,79.2,1.7,0.3,0.1
Jason Hart,78.0,1.9,0.3,0.0
Isaac Bonga,75.6,1.8,0.0,-0.1
