"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2000-01,23.0,SEA,NBA,41:00,11.0,19.0,3.0,5.0,11.0,17.0,4.0,6.0,6.0,11.0,17.0,4.0,4.0,3.0,4.0,5.0,25.0,20.2
2001-02,24.0,SEA,NBA,45:09,16.0,22.0,2.0,4.0,16.0,22.0,17.0,18.0,4.0,9.0,13.0,5.0,3.0,2.0,7.0,5.0,36.0,30.1
2002-03,25.0,TOT,NBA,49:33,13.0,25.0,3.0,5.0,12.0,22.0,9.0,11.0,6.0,12.0,17.0,11.0,4.0,2.0,5.0,6.0,30.0,23.1
2002-03,25.0,SEA,NBA,49:33,13.0,25.0,3.0,5.0,12.0,22.0,8.0,9.0,5.0,12.0,17.0,6.0,4.0,2.0,3.0,6.0,30.0,22.1
2002-03,25.0,MIL,NBA,40:57,10.0,20.0,1.0,2.0,10.0,20.0,9.0,11.0,6.0,10.0,12.0,11.0,3.0,2.0,5.0,5.0,24.0,23.1
2003-04,26.0,MIL,NBA,49:01,11.0,21.0,2.0,3.0,11.0,21.0,12.0,17.0,4.0,9.0,11.0,7.0,3.0,2.0,7.0,6.0,27.0,25.6
2004-05,27.0,MIL,NBA,49:41,12.0,23.0,1.0,1.0,12.0,23.0,15.0,16.0,5.0,9.0,11.0,9.0,4.0,2.0,6.0,6.0,32.0,29.7
2005-06,28.0,NOK,NBA,42:55,10.0,17.0,1.0,2.0,10.0,17.0,8.0,12.0,4.0,8.0,10.0,5.0,4.0,2.0,6.0,6.0,26.0,19.6
2006-07,29.0,NOK,NBA,48:53,12.0,24.0,0.0,0.0,12.0,24.0,9.0,12.0,6.0,9.0,12.0,5.0,4.0,2.0,7.0,6.0,28.0,18.7
2007-08,30.0,MIL,NBA,45:01,10.0,15.0,0.0,0.0,10.0,15.0,8.0,11.0,5.0,8.0,11.0,6.0,3.0,3.0,5.0,5.0,21.0,22.9
2008-09,31.0,OKC,NBA,37:15,7.0,14.0,0.0,1.0,7.0,14.0,5.0,7.0,5.0,10.0,11.0,4.0,3.0,3.0,5.0,5.0,18.0,15.7
2009-10,32.0,SAC,NBA,20:35,2.0,5.0,0.0,0.0,2.0,5.0,3.0,4.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,6.9
Career,,,,49:41,16.0,25.0,3.0,5.0,16.0,24.0,17.0,18.0,6.0,12.0,17.0,11.0,4.0,3.0,7.0,6.0,36.0,30.1
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,MIL,NBA,49:41,12.0,23.0,2.0,3.0,12.0,23.0,15.0,17.0,6.0,10.0,12.0,11.0,4.0,3.0,7.0,6.0,32.0,29.7
4 Seasons,,"OKC,SEA",NBA,49:33,16.0,25.0,3.0,5.0,16.0,22.0,17.0,18.0,6.0,12.0,17.0,6.0,4.0,3.0,7.0,6.0,36.0,30.1
2 Seasons,,NOK,NBA,48:53,12.0,24.0,1.0,2.0,12.0,24.0,9.0,12.0,6.0,9.0,12.0,5.0,4.0,2.0,7.0,6.0,28.0,19.6
1 Season,,SAC,NBA,20:35,2.0,5.0,0.0,0.0,2.0,5.0,3.0,4.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,6.9
