Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,20,ORL,NBA,C,53,21,516,4.7,10.3,.456,0.0,0.0,,4.7,10.3,.456,.456,3.8,6.6,.585,2.8,4.0,6.8,0.3,0.3,3.0,1.1,5.7,13.2,
2002-03,21,ORL,NBA,C,33,5,447,4.5,8.3,.544,0.0,0.0,,4.5,8.3,.544,.544,1.4,3.5,.409,3.1,4.4,7.5,0.5,0.7,2.9,1.2,4.5,10.5,
2003-04,22,ORL,NBA,C,59,23,789,3.7,7.1,.529,0.0,0.0,,3.7,7.1,.529,.529,1.0,3.1,.333,2.5,5.3,7.8,0.5,0.2,3.3,1.3,4.6,8.5,
2004-05,23,PHO,NBA,C,76,3,1046,4.6,7.6,.614,0.0,0.0,.000,4.6,7.5,.616,.614,2.7,5.6,.479,3.4,4.4,7.8,0.4,0.1,3.5,1.5,4.5,12.0,
2005-06,24,PHI,NBA,C,69,35,1312,4.8,8.0,.601,0.0,0.0,,4.8,8.0,.601,.601,1.9,3.8,.514,3.0,4.4,7.4,0.5,0.3,2.1,1.8,3.3,11.6,
2006-07,25,PHI,NBA,PF,70,41,1605,4.2,7.3,.577,0.0,0.0,,4.2,7.3,.577,.577,1.7,3.4,.490,2.6,5.0,7.5,0.6,0.3,1.7,1.5,3.1,10.1,
2007-08,26,DEN,NBA,C,19,2,120,4.5,8.4,.536,0.0,0.0,,4.5,8.4,.536,.536,2.7,6.0,.450,3.0,5.7,8.7,0.0,0.0,1.8,2.1,6.0,11.7,
2008-09,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2009-10,28,MEM,NBA,C,21,0,158,3.9,9.8,.395,0.0,0.0,,3.9,9.8,.395,.395,4.3,8.2,.528,4.1,5.5,9.6,0.0,0.2,2.3,2.1,2.3,12.1,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,400,130,5993,4.4,7.9,.560,0.0,0.0,.000,4.4,7.9,.560,.560,2.1,4.3,.485,2.9,4.7,7.6,0.5,0.3,2.5,1.5,3.9,10.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,145,49,1752,4.2,8.3,.506,0.0,0.0,,4.2,8.3,.506,.506,2.0,4.3,.464,2.7,4.7,7.4,0.5,0.4,3.1,1.2,4.9,10.4,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,139,76,2917,4.5,7.6,.588,0.0,0.0,,4.5,7.6,.588,.588,1.8,3.6,.502,2.8,4.7,7.5,0.5,0.3,1.9,1.6,3.2,10.7,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,76,3,1046,4.6,7.6,.614,0.0,0.0,.000,4.6,7.5,.616,.614,2.7,5.6,.479,3.4,4.4,7.8,0.4,0.1,3.5,1.5,4.5,12.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,21,0,158,3.9,9.8,.395,0.0,0.0,,3.9,9.8,.395,.395,4.3,8.2,.528,4.1,5.5,9.6,0.0,0.2,2.3,2.1,2.3,12.1,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,19,2,120,4.5,8.4,.536,0.0,0.0,,4.5,8.4,.536,.536,2.7,6.0,.450,3.0,5.7,8.7,0.0,0.0,1.8,2.1,6.0,11.7,
