Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2001-02,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2002-03,23,DET,NBA,PF,72,9,1366,14.8,.514,.265,.310,10.0,19.2,14.5,9.5,1.0,2.1,12.1,19.3,1.7,2.1,3.8,.134,-0.6,0.0,-0.5,0.5,
2003-04,24,DET,NBA,PF,71,33,1580,18.3,.538,.089,.386,11.9,18.8,15.4,8.2,1.2,3.0,13.7,21.7,2.6,3.3,5.9,.179,1.0,0.6,1.5,1.4,
2004-05,25,UTA,NBA,C,82,25,2304,18.9,.569,.083,.512,10.2,23.4,16.6,12.8,0.8,2.5,13.2,21.3,5.3,1.8,7.0,.147,2.4,-0.5,2.0,2.3,6MOY-11
2005-06,26,UTA,NBA,PF,82,82,2945,19.0,.554,.207,.402,8.6,22.2,15.4,12.8,0.7,2.1,10.9,23.5,6.3,3.0,9.3,.152,2.4,-0.8,1.6,2.7,
2006-07,27,UTA,NBA,C,80,80,2664,18.1,.571,.317,.365,7.3,19.1,13.2,9.9,0.7,1.2,9.2,22.8,6.5,2.3,8.8,.158,3.1,-0.9,2.2,2.8,AS
2007-08,28,UTA,NBA,C,72,72,2390,15.2,.556,.350,.273,6.8,21.5,14.2,9.0,1.2,1.0,9.9,19.6,4.0,2.7,6.7,.134,1.3,-0.5,0.8,1.7,
2008-09,29,UTA,NBA,C,72,72,2409,17.5,.592,.227,.376,6.1,21.5,13.8,8.1,1.2,1.7,11.3,21.7,4.5,2.9,7.4,.148,1.6,-0.3,1.3,2.0,
2009-10,30,UTA,NBA,C,73,73,2149,15.6,.561,.275,.308,7.5,20.6,14.2,8.5,0.9,3.0,12.6,21.0,2.6,3.0,5.6,.126,0.4,0.1,0.5,1.4,
2010-11,31,UTA,NBA,C,13,0,168,12.6,.452,.258,.323,6.4,15.2,10.8,17.7,1.3,1.9,9.0,21.2,0.1,0.1,0.2,.048,-1.3,-1.5,-2.8,0.0,
2011-12,32,NJN,NBA,C,17,14,454,8.4,.460,.518,.036,5.5,15.5,10.4,11.1,1.1,0.8,15.0,16.8,-0.2,0.1,0.0,-0.004,-2.7,-1.8,-4.5,-0.3,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,634,460,18429,17.1,.558,.240,.362,8.2,20.8,14.5,10.1,0.9,2.0,11.4,21.4,33.4,21.3,54.7,.142,1.5,-0.4,1.1,14.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,59,2384,17.1,.558,.240,.362,8.2,20.8,14.5,10.1,0.9,2.0,11.4,21.4,4.3,2.8,7.1,.142,1.5,-0.4,1.1,1.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (7 Yrs),UTA (7 Yrs),UTA (7 Yrs),UTA (7 Yrs),,474,404,15029,17.4,.566,.246,.372,7.7,21.3,14.5,10.4,0.9,1.9,11.1,21.8,29.2,15.8,45.0,.144,1.9,-0.5,1.4,12.9,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,143,42,2946,16.7,.528,.166,.352,11.0,19.0,15.0,8.8,1.1,2.6,13.0,20.6,4.3,5.4,9.7,.159,0.2,0.3,0.6,1.9,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,17,14,454,8.4,.460,.518,.036,5.5,15.5,10.4,11.1,1.1,0.8,15.0,16.8,-0.2,0.1,0.0,-0.004,-2.7,-1.8,-4.5,-0.3,
