"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2003-04,25,SAC,NBA,PF,7.0,0.0,85.0,0.625,1.1,1.0,0.813,0.188,0.0,0.0,0.0,0.625,0.692,0.333,,,,0.8,0.188,3.0,,0.0,0.0,
2004-05,26,SAC,NBA,PF,5.0,0.0,75.0,0.421,7.5,1.0,0.263,0.421,0.105,0.211,0.0,0.421,0.4,0.25,1.0,0.5,,0.625,0.053,1.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,WAS,NBA,PF,4.0,0.0,90.0,0.488,9.4,0.951,0.341,0.244,0.146,0.22,0.049,0.513,0.643,0.4,0.5,0.444,0.0,0.55,0.0,0.0,0.0,0.0,0.0,
2007-08,29,WAS,NBA,C,5.0,0.0,77.0,0.421,8.0,1.0,0.474,0.158,0.105,0.263,0.0,0.421,0.333,0.667,0.5,0.4,,0.875,0.0,0.0,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,21.0,0.0,327.0,0.484,6.5,0.979,0.432,0.253,0.105,0.189,0.021,0.495,0.561,0.375,0.6,0.444,0.0,0.674,0.042,4.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,1277.0,0.484,6.5,0.979,0.432,0.253,0.105,0.189,0.021,0.495,0.561,0.375,0.6,0.444,0.0,0.674,0.042,16.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),,12.0,0.0,160.0,0.514,4.3,1.0,0.514,0.314,0.057,0.114,0.0,0.514,0.611,0.273,1.0,0.5,,0.722,0.114,4.0,,0.0,0.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,9.0,0.0,167.0,0.467,8.7,0.967,0.383,0.217,0.133,0.233,0.033,0.483,0.522,0.462,0.5,0.429,0.0,0.643,0.0,0.0,0.0,0.0,0.0,
