"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2005-06,22,IND,NBA,SF,6.0,3.0,162.0,0.529,0.5,0.563,0.662,1.0,0.685,0.118,0.471,117.0,105.0,157.0,135.0,134.0,128.0,35.0,233.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,IND,NBA,SF,5.0,5.0,183.0,0.478,0.522,0.348,0.522,0.875,0.556,0.178,0.256,104.0,107.0,97.0,105.0,115.0,103.0,59.0,115.0,
2011-12,28,IND,NBA,SF,11.0,11.0,420.0,0.397,0.426,0.356,0.471,0.821,0.502,0.161,0.42,89.0,89.0,102.0,97.0,109.0,95.0,58.0,186.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,30,LAC,NBA,SF,13.0,0.0,134.0,0.275,0.333,0.227,0.338,0.778,0.387,0.225,0.55,61.0,68.0,63.0,67.0,103.0,71.0,79.0,212.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,35.0,19.0,899.0,0.417,0.456,0.358,0.488,0.842,0.521,0.169,0.396,92.0,95.0,101.0,99.0,111.0,98.0,59.0,175.0,
,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,22.0,19.0,765.0,0.436,0.468,0.384,0.508,0.854,0.539,0.161,0.376,96.0,97.0,109.0,104.0,113.0,101.0,56.0,170.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,13.0,0.0,134.0,0.275,0.333,0.227,0.338,0.778,0.387,0.225,0.55,61.0,68.0,63.0,67.0,103.0,71.0,79.0,212.0,
