Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2005-06,18,UTA,NBA,PG,23,0,203,5.0,13.5,.368,0.9,3.5,.250,4.1,9.9,.411,.401,3.2,4.3,.750,3.2,3.5,6.7,2.8,1.2,0.4,1.6,3.5,14.0,
2006-07,19,UTA,NBA,SG,37,13,373,3.9,11.2,.345,0.7,3.1,.219,3.2,8.1,.393,.375,1.4,2.2,.609,1.1,2.3,3.4,2.4,1.1,0.4,2.7,5.8,9.7,
2007-08,20,UTA,NBA,SG,60,13,689,5.9,12.3,.479,1.6,4.0,.390,4.3,8.3,.522,.542,2.1,2.7,.788,0.8,3.2,4.1,2.8,1.7,0.4,1.4,5.1,15.5,
2008-09,21,UTA,NBA,SG,72,72,1623,5.7,12.5,.459,1.4,4.0,.352,4.3,8.5,.509,.515,1.7,2.0,.876,1.0,2.7,3.7,2.4,1.0,0.3,1.4,4.1,14.6,
2009-10,22,UTA,NBA,SF,63,28,1497,5.8,13.5,.429,1.8,5.2,.341,4.0,8.3,.484,.495,1.6,2.3,.695,1.0,3.0,4.0,2.5,1.4,0.4,1.9,4.6,15.0,
2010-11,23,UTA,NBA,SF,78,19,1969,6.7,16.4,.407,2.0,6.2,.322,4.7,10.2,.459,.468,2.9,3.6,.811,1.0,3.7,4.7,2.5,1.4,0.7,1.7,4.0,18.3,
2011-12,24,UTA,NBA,SG,56,14,1145,5.6,14.6,.381,1.4,4.7,.307,4.1,9.9,.416,.430,3.4,4.3,.794,0.8,2.8,3.6,2.2,1.4,0.6,1.7,3.8,16.0,
2012-13,25,CLE,NBA,SF,65,13,1364,6.7,16.2,.415,3.3,8.7,.384,3.4,7.5,.451,.518,2.5,2.8,.869,0.6,4.0,4.6,1.7,1.3,0.4,1.8,3.6,19.2,
2013-14,26,CLE,NBA,SG,51,34,984,6.5,15.0,.435,3.0,7.7,.393,3.5,7.2,.480,.537,2.3,2.7,.853,0.7,3.1,3.8,1.9,1.7,0.5,1.6,3.8,18.4,
2014-15,27,IND,NBA,SG,70,40,1841,6.4,16.2,.398,3.0,8.7,.345,3.4,7.5,.459,.491,2.5,3.1,.807,0.4,3.8,4.2,1.5,1.2,0.5,1.4,2.6,18.4,
2015-16,28,IND,NBA,SF,64,24,1464,6.4,15.6,.409,3.5,9.5,.367,2.9,6.1,.474,.521,2.3,3.0,.750,0.6,3.7,4.3,1.5,1.3,0.7,1.7,3.5,18.5,
2016-17,29,IND,NBA,SF,76,29,1776,5.7,13.1,.434,3.4,8.3,.413,2.3,4.8,.471,.565,1.7,1.9,.903,0.6,4.0,4.6,1.0,0.9,0.5,0.8,3.1,16.5,
2017-18,30,TOR,NBA,SF,70,3,1337,6.1,16.1,.379,4.4,12.2,.361,1.7,3.9,.434,.516,2.2,2.6,.835,0.5,3.6,4.1,1.5,1.0,0.6,1.1,3.6,18.8,
2018-19,31,2TM,NBA,SF,53,1,856,4.7,13.1,.360,2.8,8.5,.330,1.9,4.5,.417,.468,2.0,2.4,.828,0.5,3.4,4.0,1.5,1.1,0.6,1.3,3.3,14.3,
2018-19,31,TOR,NBA,SF,40,1,562,4.5,13.2,.340,2.8,8.8,.314,1.7,4.4,.391,.444,2.2,2.8,.795,0.8,3.6,4.4,1.4,1.2,0.6,1.3,4.0,14.0,
2018-19,31,MEM,NBA,SF,13,0,294,5.1,12.9,.400,2.9,8.1,.364,2.2,4.8,.462,.514,1.6,1.7,.929,0.1,3.2,3.3,1.7,1.0,0.6,1.1,2.1,14.8,
2019-20,32,WAS,NBA,SF,10,0,161,4.2,13.2,.322,2.5,7.8,.314,1.8,5.4,.333,.415,3.4,4.5,.750,0.9,1.8,2.7,2.7,2.2,0.9,0.9,3.1,14.3,
2020-21,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned,Did not play - unsigned
2021-22,34,BOS,NBA,SG,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,
