"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2008-09,22,HOU,NBA,PG,13.0,0.0,254.0,0.333,0.362,0.25,0.365,0.742,0.45,0.492,0.254,73.0,75.0,68.0,73.0,96.0,83.0,161.0,113.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,27,TOR,NBA,PG,7.0,7.0,271.0,0.404,0.409,0.395,0.482,0.878,0.567,0.45,0.394,89.0,84.0,110.0,96.0,116.0,105.0,158.0,152.0,
2014-15,28,TOR,NBA,PG,4.0,4.0,131.0,0.316,0.382,0.217,0.36,0.727,0.396,0.193,0.404,70.0,79.0,62.0,73.0,97.0,74.0,71.0,150.0,
2015-16,29,TOR,NBA,PG,20.0,20.0,766.0,0.397,0.464,0.304,0.461,0.75,0.508,0.315,0.418,88.0,94.0,86.0,92.0,99.0,94.0,114.0,147.0,
2016-17,30,TOR,NBA,PG,8.0,8.0,300.0,0.462,0.545,0.342,0.532,0.818,0.586,0.355,0.409,101.0,108.0,96.0,104.0,106.0,106.0,131.0,129.0,
2017-18,31,TOR,NBA,PG,10.0,10.0,361.0,0.508,0.582,0.444,0.627,0.813,0.659,0.271,0.534,110.0,114.0,123.0,120.0,106.0,118.0,108.0,158.0,
2018-19,32,TOR,NBA,PG,24.0,24.0,901.0,0.44,0.53,0.359,0.534,0.802,0.577,0.292,0.523,96.0,102.0,101.0,102.0,105.0,103.0,113.0,146.0,
2019-20,33,TOR,NBA,PG,11.0,11.0,413.0,0.419,0.513,0.319,0.497,0.8,0.559,0.405,0.486,91.0,98.0,89.0,94.0,104.0,99.0,156.0,127.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,35,MIA,NBA,PG,10.0,10.0,295.0,0.291,0.375,0.241,0.366,0.789,0.413,0.221,0.628,63.0,70.0,68.0,69.0,102.0,73.0,89.0,157.0,
2022-23,36,MIA,NBA,PG,23.0,1.0,599.0,0.425,0.477,0.375,0.52,0.939,0.562,0.19,0.506,89.0,87.0,104.0,95.0,120.0,97.0,71.0,131.0,
2023-24,37,PHI,NBA,PG,6.0,6.0,175.0,0.344,0.375,0.333,0.469,0.8,0.544,0.469,0.75,72.0,69.0,91.0,86.0,102.0,94.0,192.0,190.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,136.0,101.0,4466.0,0.411,0.476,0.338,0.491,0.803,0.542,0.315,0.473,89.0,94.0,95.0,95.0,105.0,98.0,117.0,143.0,
,,,,,,,,,,,,,,,,,,,,,,,,
TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),,84.0,84.0,3143.0,0.424,0.492,0.345,0.504,0.797,0.554,0.327,0.461,93.0,98.0,97.0,98.0,104.0,101.0,122.0,144.0,
MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,33.0,11.0,894.0,0.381,0.449,0.324,0.469,0.885,0.513,0.2,0.546,81.0,83.0,90.0,87.0,114.0,89.0,77.0,139.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,13.0,0.0,254.0,0.333,0.362,0.25,0.365,0.742,0.45,0.492,0.254,73.0,75.0,68.0,73.0,96.0,83.0,161.0,113.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,6.0,6.0,175.0,0.344,0.375,0.333,0.469,0.8,0.544,0.469,0.75,72.0,69.0,91.0,86.0,102.0,94.0,192.0,190.0,
