"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2011-12,26,LAL,NBA,WC1,DEN,W (4-3),7.0,32.6,11.7,3.4,4.0,0.6,0.0,31.0,80.0,0.388,4.0,21.0,0.19,27.0,59.0,0.458,0.413,16.0,23.0,0.696,1.0,23.0,24.0,28.0,4.0,0.0,10.0,16.0,82.0,
2011-12,26,LAL,NBA,WCS,OKC,L (1-4),5.0,30.4,6.8,2.4,3.0,0.0,0.2,12.0,34.0,0.353,0.0,4.0,0.0,12.0,30.0,0.4,0.353,10.0,12.0,0.833,2.0,10.0,12.0,15.0,0.0,1.0,12.0,11.0,34.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,29,WAS,NBA,EC1,TOR,W (4-0),4.0,16.5,6.5,2.0,1.5,0.0,0.3,8.0,18.0,0.444,5.0,9.0,0.556,3.0,9.0,0.333,0.583,5.0,6.0,0.833,0.0,8.0,8.0,6.0,0.0,1.0,3.0,7.0,26.0,
2014-15,29,WAS,NBA,ECS,ATL,L (2-4),6.0,25.3,8.2,2.7,2.8,0.7,0.0,18.0,52.0,0.346,5.0,16.0,0.313,13.0,36.0,0.361,0.394,8.0,13.0,0.615,2.0,14.0,16.0,17.0,4.0,0.0,7.0,7.0,49.0,
2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2 Yrs (4 Series),2-2,22.0,27.2,8.7,2.7,3.0,0.4,0.1,69.0,184.0,0.375,14.0,50.0,0.28,55.0,134.0,0.41,0.413,39.0,54.0,0.722,5.0,55.0,60.0,66.0,8.0,2.0,32.0,41.0,191.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),1-0,7.0,32.6,11.7,3.4,4.0,0.6,0.0,31.0,80.0,0.388,4.0,21.0,0.19,27.0,59.0,0.458,0.413,16.0,23.0,0.696,1.0,23.0,24.0,28.0,4.0,0.0,10.0,16.0,82.0,
EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),EC1 (1 Series),1-0,4.0,16.5,6.5,2.0,1.5,0.0,0.3,8.0,18.0,0.444,5.0,9.0,0.556,3.0,9.0,0.333,0.583,5.0,6.0,0.833,0.0,8.0,8.0,6.0,0.0,1.0,3.0,7.0,26.0,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),0-1,5.0,30.4,6.8,2.4,3.0,0.0,0.2,12.0,34.0,0.353,0.0,4.0,0.0,12.0,30.0,0.4,0.353,10.0,12.0,0.833,2.0,10.0,12.0,15.0,0.0,1.0,12.0,11.0,34.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),0-1,6.0,25.3,8.2,2.7,2.8,0.7,0.0,18.0,52.0,0.346,5.0,16.0,0.313,13.0,36.0,0.361,0.394,8.0,13.0,0.615,2.0,14.0,16.0,17.0,4.0,0.0,7.0,7.0,49.0,
