"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2007-08,19.0,PHI,NBA,40:34,10.0,19.0,2.0,4.0,10.0,19.0,6.0,6.0,6.0,8.0,9.0,5.0,4.0,1.0,4.0,6.0,22.0,21.0
2008-09,20.0,PHI,NBA,43:33,14.0,21.0,4.0,7.0,13.0,20.0,11.0,14.0,5.0,7.0,11.0,4.0,5.0,4.0,5.0,5.0,31.0,22.4
2009-10,21.0,PHI,NBA,46:21,13.0,24.0,3.0,8.0,11.0,21.0,7.0,8.0,6.0,9.0,14.0,4.0,4.0,3.0,6.0,5.0,32.0,30.9
2010-11,22.0,PHI,NBA,38:43,12.0,19.0,1.0,2.0,12.0,19.0,8.0,8.0,5.0,9.0,11.0,5.0,4.0,4.0,4.0,5.0,26.0,27.7
2011-12,23.0,PHI,NBA,38:08,11.0,22.0,1.0,1.0,11.0,22.0,8.0,9.0,8.0,7.0,13.0,4.0,4.0,3.0,4.0,6.0,22.0,22.0
2012-13,24.0,PHI,NBA,44:58,14.0,23.0,1.0,1.0,14.0,23.0,6.0,11.0,8.0,11.0,16.0,5.0,5.0,4.0,5.0,6.0,29.0,26.5
2013-14,25.0,PHI,NBA,48:07,14.0,31.0,5.0,9.0,14.0,25.0,9.0,11.0,8.0,10.0,13.0,10.0,8.0,3.0,6.0,6.0,30.0,32.0
2014-15,26.0,TOT,NBA,52:58,12.0,21.0,3.0,5.0,12.0,20.0,6.0,12.0,6.0,9.0,12.0,7.0,5.0,2.0,5.0,6.0,29.0,26.9
2014-15,26.0,MIN,NBA,42:31,12.0,21.0,2.0,5.0,12.0,20.0,6.0,12.0,5.0,8.0,12.0,7.0,5.0,2.0,5.0,5.0,29.0,24.8
2014-15,26.0,BRK,NBA,52:58,12.0,20.0,3.0,5.0,12.0,17.0,6.0,12.0,6.0,9.0,11.0,4.0,4.0,1.0,4.0,6.0,29.0,26.9
2015-16,27.0,BRK,NBA,43:12,14.0,22.0,2.0,4.0,13.0,21.0,7.0,9.0,7.0,13.0,16.0,7.0,7.0,3.0,6.0,6.0,29.0,27.7
2016-17,28.0,IND,NBA,40:43,10.0,18.0,6.0,8.0,10.0,15.0,4.0,6.0,6.0,12.0,14.0,4.0,6.0,3.0,5.0,6.0,24.0,24.5
2017-18,29.0,IND,NBA,39:47,12.0,18.0,4.0,6.0,10.0,15.0,5.0,6.0,8.0,11.0,14.0,5.0,7.0,3.0,5.0,5.0,26.0,22.4
2018-19,30.0,IND,NBA,41:12,11.0,19.0,3.0,6.0,9.0,17.0,8.0,9.0,7.0,10.0,15.0,8.0,5.0,3.0,5.0,6.0,27.0,28.6
2019-20,31.0,CHI,NBA,36:51,10.0,18.0,5.0,8.0,8.0,15.0,3.0,6.0,5.0,9.0,11.0,6.0,5.0,2.0,6.0,6.0,23.0,19.5
2020-21,32.0,CHI,NBA,32:58,11.0,18.0,2.0,3.0,11.0,17.0,6.0,6.0,8.0,8.0,13.0,11.0,5.0,3.0,6.0,6.0,25.0,23.6
2021-22,33.0,TOT,NBA,30:56,8.0,14.0,3.0,5.0,8.0,14.0,3.0,6.0,5.0,7.0,10.0,8.0,3.0,3.0,3.0,5.0,17.0,20.2
2021-22,33.0,SAS,NBA,26:19,8.0,14.0,0.0,2.0,8.0,14.0,3.0,6.0,5.0,5.0,9.0,8.0,2.0,3.0,3.0,4.0,17.0,20.2
2021-22,33.0,TOR,NBA,30:56,6.0,10.0,3.0,5.0,6.0,8.0,2.0,4.0,5.0,7.0,10.0,4.0,3.0,3.0,2.0,5.0,14.0,15.7
2022-23,34.0,TOR,NBA,35:02,9.0,12.0,2.0,3.0,9.0,10.0,3.0,6.0,5.0,6.0,9.0,5.0,4.0,1.0,4.0,5.0,18.0,21.7
2023-24,35.0,TOT,NBA,31:37,8.0,13.0,1.0,1.0,8.0,12.0,2.0,2.0,6.0,6.0,9.0,7.0,3.0,2.0,2.0,5.0,16.0,16.4
2023-24,35.0,TOR,NBA,31:37,8.0,13.0,1.0,1.0,8.0,12.0,2.0,2.0,4.0,6.0,8.0,7.0,3.0,1.0,2.0,5.0,16.0,16.4
2023-24,35.0,PHO,NBA,18:53,3.0,4.0,0.0,1.0,3.0,4.0,1.0,2.0,6.0,5.0,9.0,2.0,2.0,2.0,2.0,4.0,6.0,10.7
Career,,,,52:58,14.0,31.0,6.0,9.0,14.0,25.0,11.0,14.0,8.0,13.0,16.0,11.0,8.0,4.0,6.0,6.0,32.0,32.0
,,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,PHI,NBA,48:07,14.0,31.0,5.0,9.0,14.0,25.0,11.0,14.0,8.0,11.0,16.0,10.0,8.0,4.0,6.0,6.0,32.0,32.0
3 Seasons,,IND,NBA,41:12,12.0,19.0,6.0,8.0,10.0,17.0,8.0,9.0,8.0,12.0,15.0,8.0,7.0,3.0,5.0,6.0,27.0,28.6
