Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2008-09,23,ORL,NBA,SG,21.0,16.0,550.0,4.4,10.1,0.435,0.8,2.9,0.273,3.6,7.2,0.5,0.474,1.5,1.7,0.885,0.4,2.2,2.6,1.8,1.2,0.2,1.3,2.7,11.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,27,BOS,NBA,SG,4.0,0.0,39.0,0.9,4.6,0.2,0.0,1.8,0.0,0.9,2.8,0.333,0.2,3.7,3.7,1.0,0.0,1.8,1.8,0.9,1.8,0.0,0.0,2.8,5.5,
2013-14,28,MEM,NBA,SG,7.0,7.0,224.0,4.0,9.6,0.417,1.0,3.1,0.316,3.1,6.6,0.463,0.467,2.3,2.9,0.778,0.5,1.8,2.3,1.8,0.8,0.3,1.0,3.2,11.3,
2014-15,29,MEM,NBA,SG,11.0,11.0,367.0,5.4,9.8,0.55,1.4,2.9,0.467,4.0,6.9,0.586,0.62,2.2,2.3,0.957,0.3,2.5,2.7,2.4,1.2,0.0,1.3,2.4,14.3,
2015-16,30,CHO,NBA,SG,7.0,7.0,257.0,2.9,7.1,0.412,0.6,1.3,0.444,2.4,5.9,0.405,0.451,2.0,2.1,0.933,0.7,2.1,2.8,1.3,0.8,0.4,0.7,2.7,8.4,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,50.0,41.0,1437.0,4.2,9.3,0.457,0.9,2.6,0.346,3.3,6.7,0.5,0.505,1.9,2.2,0.895,0.4,2.2,2.6,1.8,1.1,0.2,1.1,2.7,11.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,18.0,18.0,591.0,4.9,9.7,0.5,1.2,3.0,0.408,3.7,6.8,0.541,0.563,2.2,2.5,0.878,0.4,2.2,2.6,2.1,1.0,0.1,1.2,2.7,13.2,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,21.0,16.0,550.0,4.4,10.1,0.435,0.8,2.9,0.273,3.6,7.2,0.5,0.474,1.5,1.7,0.885,0.4,2.2,2.6,1.8,1.2,0.2,1.3,2.7,11.1,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,7.0,7.0,257.0,2.9,7.1,0.412,0.6,1.3,0.444,2.4,5.9,0.405,0.451,2.0,2.1,0.933,0.7,2.1,2.8,1.3,0.8,0.4,0.7,2.7,8.4,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,4.0,0.0,39.0,0.9,4.6,0.2,0.0,1.8,0.0,0.9,2.8,0.333,0.2,3.7,3.7,1.0,0.0,1.8,1.8,0.9,1.8,0.0,0.0,2.8,5.5,
