"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2009-10,20,OKC,NBA,SG,76,0,1738,1,90,9,0,0,6.4,3.8,40,36,98,12,113,15,299,14,45,
2010-11,21,OKC,NBA,SG,82,5,2189,0,74,26,1,0,5.5,2.7,29,37,82,29,157,10,419,28,46,6MOY-7
2011-12,22,OKC,NBA,SG,62,2,1946,0,55,44,0,0,9.9,8.0,62,39,50,24,167,7,536,29,50,6MOY-1
2012-13,23,HOU,NBA,SG,78,78,2985,0,94,5,0,0,2.8,-3.6,143,102,70,37,350,13,1098,67,106,"MVP-8,AS,NBA3"
2013-14,24,HOU,NBA,SG,73,73,2777,1,91,7,0,0,7.1,7.6,135,79,55,32,275,13,1040,43,61,"MVP-5,AS,NBA1"
2014-15,25,HOU,NBA,SG,81,81,2981,1,92,7,0,0,5.7,8.6,176,97,88,36,335,23,1382,50,107,"MVP-2,AS,NBA1"
2015-16,26,HOU,NBA,SG,82,82,3125,2,77,21,1,0,1.6,7.1,223,98,94,42,337,14,1458,59,95,"MVP-9,AS"
2016-17,27,HOU,NBA,PG,81,81,2947,98,1,0,0,0,7.0,3.3,294,114,84,34,312,10,2179,29,85,"MVP-2,AS,NBA1"
2017-18,28,HOU,NBA,SG,72,72,2551,19,75,6,0,0,10.5,5.3,188,87,66,29,285,10,1499,56,98,"MVP-1,AS,NBA1"
2018-19,29,HOU,NBA,PG,78,78,2867,58,42,0,0,0,6.6,5.5,214,108,76,43,358,22,1390,76,112,"MVP-2,AS,NBA1"
2019-20,30,HOU,NBA,SG,68,68,2483,16,75,10,0,0,5.7,9.1,145,95,80,51,326,12,1226,75,92,"MVP-3,AS,NBA1"
2020-21,31,2TM,NBA,PG,44,43,1609,27,45,29,0,0,3.1,0.7,109,48,50,13,119,5,1113,20,47,"MVP-13,AS"
2020-21,31,HOU,NBA,PG,8,8,290,16,53,31,0,0,-5.7,2.6,20,10,7,1,18,0,193,3,11,
2020-21,31,BRK,NBA,PG,36,35,1319,29,43,28,0,0,5.1,0.2,89,38,43,12,101,5,920,17,36,
2021-22,32,2TM,NBA,PG,65,65,2419,59,40,1,0,0,3.9,2.7,173,72,66,19,231,6,1536,52,92,AS
2021-22,32,BRK,NBA,PG,44,44,1627,73,26,1,0,0,1.6,0.3,129,53,44,13,152,3,1012,38,65,
2021-22,32,PHI,NBA,PG,21,21,792,30,71,0,0,0,8.7,7.6,44,19,22,6,79,3,524,14,27,
2022-23,33,PHI,NBA,PG,58,58,2135,100,0,0,0,0,6.5,3.7,117,40,46,20,147,11,1429,36,50,
2023-24,34,LAC,NBA,PG,72,72,2470,72,28,0,0,0,5.9,6.0,120,42,62,15,140,7,1429,33,42,
2024-25,35,LAC,NBA,PG,79,79,2789,47,53,0,0,0,5.8,4.2,202,97,70,31,238,10,1570,43,65,"MVP-10,AS,NBA3"
2025-26,36,LAC,NBA,PG,13,13,470,47,52,1,0,0,-3.6,4.9,34,12,12,3,46,1,263,11,14,
,,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,
,,,,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
17 Yrs,17 Yrs,17 Yrs,17 Yrs,,1164,950,40481,32,59,9,0,0,5.7,4.8,2404,1203,1149,470,3936,189,19866,721,1207,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,67,2852,32,59,9,0,0,5.7,4.8,169,85,81,33,277,13,1399,51,85,
,,,,,,,,,,,,,,,,,,,,,,,,
HOU (9 Yrs),HOU (9 Yrs),HOU (9 Yrs),HOU (9 Yrs),,621,621,23006,24,68,7,0,0,5.6,5.2,1538,790,620,305,2596,117,11465,458,767,
OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),,220,7,5873,0,72,27,0,0,7.2,4.8,131,112,230,65,437,32,1254,71,141,
LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),,164,164,5729,58,42,0,0,0,5.1,5.1,356,151,144,49,424,18,3262,87,121,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,80,79,2946,53,33,13,0,0,3.1,0.3,218,91,87,25,253,8,1932,55,101,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,79,79,2927,81,19,0,0,0,7.1,4.8,161,59,68,26,226,14,1953,50,77,
