"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sam Young,,2.9,1.2,0.9,0.2
Sam Dekker,89.9,3.1,1.2,1.0,0.0
Marty Conlon,88.3,3.1,1.4,1.0,0.3
Charles Jones,86.4,2.9,0.9,0.6,0.1
Kenny Gattison,86.3,3.0,1.5,0.7,0.0
Jeff Ayres,86.0,2.4,1.3,1.0,0.3
Juancho HernangÃ³mez,85.9,3.0,1.8,0.9,0.4
Andray Blatche,84.7,3.0,1.4,0.5,0.1
Jeff Lamp,84.4,3.0,1.0,0.7,0.6
Al Harrington,84.2,2.6,1.2,1.0,-0.2
Lorenzo Williams,83.6,3.1,1.7,1.1,0.3
