"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Damion James,,0.1,0.0,0.0,-0.2
Lester Hudson,-92.9,0.2,0.1,0.1,-0.1
Jared Cunningham,-93.1,0.1,0.1,0.0,0.0
Dominique Jones,-94.5,0.2,0.0,0.0,
Awvee Storey,-94.6,0.2,0.1,0.0,
Andre Barrett,-95.9,0.4,0.0,0.0,-0.1
Mike Price,-96.2,0.2,0.2,0.1,
R.J. Hunter,-96.4,0.3,0.1,0.0,0.0
David Duke Jr.,-96.6,0.3,0.1,0.0,-0.1
Axel Toupane,-96.9,0.3,0.1,0.1,
Bob Duffy,-97.1,0.3,0.1,0.1,
