"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2015-16,22,MIA,NBA,EC1,CHO,W (4-3),7.0,28.9,6.4,3.7,2.1,0.3,0.9,16.0,51.0,0.314,10.0,28.0,0.357,6.0,23.0,0.261,0.412,3.0,5.0,0.6,9.0,17.0,26.0,15.0,2.0,6.0,4.0,17.0,45.0,
2015-16,22,MIA,NBA,ECS,TOR,L (3-4),7.0,26.4,6.9,3.4,1.0,0.6,1.0,17.0,38.0,0.447,7.0,18.0,0.389,10.0,20.0,0.5,0.539,7.0,9.0,0.778,1.0,23.0,24.0,7.0,4.0,7.0,8.0,20.0,48.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,MIA,NBA,EC1,PHI,L (1-4),5.0,26.0,8.4,3.0,2.8,2.2,1.0,15.0,40.0,0.375,6.0,19.0,0.316,9.0,21.0,0.429,0.45,6.0,7.0,0.857,4.0,11.0,15.0,14.0,11.0,5.0,5.0,17.0,42.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,PHI,NBA,EC1,BOS,L (0-4),4.0,36.0,16.8,3.8,3.3,0.5,0.5,20.0,56.0,0.357,10.0,28.0,0.357,10.0,28.0,0.357,0.446,17.0,18.0,0.944,4.0,11.0,15.0,13.0,2.0,2.0,8.0,12.0,67.0,
2020-21,27,DAL,NBA,WC1,LAC,L (3-4),7.0,13.4,4.9,1.6,0.7,0.3,0.0,11.0,28.0,0.393,3.0,10.0,0.3,8.0,18.0,0.444,0.446,9.0,9.0,1.0,3.0,8.0,11.0,5.0,2.0,0.0,6.0,8.0,34.0,
4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),4 Yrs (5 Series),1-4,30.0,25.2,7.9,3.0,1.8,0.7,0.7,79.0,213.0,0.371,36.0,103.0,0.35,43.0,110.0,0.391,0.455,42.0,48.0,0.875,21.0,70.0,91.0,54.0,21.0,20.0,31.0,74.0,236.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),0-1,7.0,13.4,4.9,1.6,0.7,0.3,0.0,11.0,28.0,0.393,3.0,10.0,0.3,8.0,18.0,0.444,0.446,9.0,9.0,1.0,3.0,8.0,11.0,5.0,2.0,0.0,6.0,8.0,34.0,
EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),EC1 (3 Series),1-2,16.0,29.8,9.6,3.5,2.6,0.9,0.8,51.0,147.0,0.347,26.0,75.0,0.347,25.0,72.0,0.347,0.435,26.0,30.0,0.867,17.0,39.0,56.0,42.0,15.0,13.0,17.0,46.0,154.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),0-1,7.0,26.4,6.9,3.4,1.0,0.6,1.0,17.0,38.0,0.447,7.0,18.0,0.389,10.0,20.0,0.5,0.539,7.0,9.0,0.778,1.0,23.0,24.0,7.0,4.0,7.0,8.0,20.0,48.0,
