Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,21,MIL,NBA,PF,22,0,3.2,0.4,0.7,.563,0.1,0.2,.400,0.3,0.5,.636,.625,0.0,0.1,.500,0.1,0.4,0.5,0.1,0.1,0.0,0.2,0.3,1.0,
2018-19,22,MIL,NBA,PF,48,3,18.4,2.2,5.2,.414,1.0,2.6,.362,1.2,2.6,.468,.506,0.5,1.0,.553,0.9,3.7,4.6,1.1,0.4,0.4,0.7,1.8,5.8,
2019-20,23,MIL,NBA,PF,37,1,9.8,1.4,3.6,.394,0.5,2.0,.247,0.9,1.6,.576,.462,0.3,0.5,.611,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6,
2020-21,24,2TM,NBA,PF,35,1,12.4,1.9,4.8,.405,0.9,2.5,.345,1.1,2.3,.469,.494,0.5,0.7,.680,0.6,2.6,3.2,0.7,0.3,0.5,0.6,1.3,5.2,
2020-21,24,MIL,NBA,PF,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6,
2020-21,24,HOU,NBA,PF,23,1,14.3,2.3,5.4,.416,0.9,2.6,.339,1.4,2.9,.485,.496,0.7,1.0,.696,0.7,3.0,3.8,0.9,0.4,0.5,0.8,1.3,6.1,
2021-22,25,TOR,NBA,PF,4,1,13.5,2.8,3.8,.733,0.0,0.5,.000,2.8,3.3,.846,.733,2.0,2.5,.800,0.3,3.8,4.0,1.3,1.3,0.3,0.5,1.5,7.5,
2022-23,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2023-24,27,PHI,NBA,PF,2,0,7.5,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,148,6,12.3,1.7,4.0,.422,0.7,2.0,.331,1.0,2.0,.514,.505,0.4,0.7,.618,0.5,2.5,3.1,0.7,0.3,0.3,0.5,1.2,4.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),,119,4,11.9,1.5,3.7,.410,0.6,2.0,.326,0.9,1.8,.502,.495,0.3,0.6,.565,0.5,2.4,2.9,0.7,0.2,0.3,0.5,1.2,4.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,23,1,14.3,2.3,5.4,.416,0.9,2.6,.339,1.4,2.9,.485,.496,0.7,1.0,.696,0.7,3.0,3.8,0.9,0.4,0.5,0.8,1.3,6.1,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4,1,13.5,2.8,3.8,.733,0.0,0.5,.000,2.8,3.3,.846,.733,2.0,2.5,.800,0.3,3.8,4.0,1.3,1.3,0.3,0.5,1.5,7.5,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,2,0,7.5,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,
