"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2020-21,24,PHO,NBA,SF,22.0,22.0,707.0,0.0,7.0,93.0,0.0,0.0,5.6,2.0,5.0,6.0,17.0,1.0,13.0,4.0,86.0,4.0,8.0,
2021-22,25,PHO,NBA,SF,13.0,13.0,500.0,0.0,15.0,85.0,0.0,0.0,0.7,9.2,5.0,4.0,11.0,0.0,9.0,6.0,82.0,2.0,4.0,
2022-23,26,BRK,NBA,SG,4.0,4.0,157.0,5.0,77.0,19.0,0.0,0.0,-16.2,-13.1,6.0,1.0,2.0,0.0,11.0,1.0,42.0,2.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,28,NYK,NBA,SF,18.0,18.0,706.0,0.0,11.0,79.0,10.0,0.0,-4.2,-25.3,20.0,11.0,15.0,3.0,7.0,3.0,125.0,2.0,10.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,57.0,57.0,2070.0,0.0,15.0,81.0,4.0,0.0,-0.6,-6.7,36.0,22.0,45.0,4.0,40.0,14.0,335.0,10.0,27.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2978.0,0.0,15.0,81.0,4.0,0.0,-0.6,-6.7,52.0,32.0,65.0,6.0,58.0,20.0,482.0,14.0,39.0,
,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,35.0,35.0,1207.0,0.0,10.0,90.0,0.0,0.0,3.6,5.0,10.0,10.0,28.0,1.0,22.0,10.0,168.0,6.0,12.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,18.0,18.0,706.0,0.0,11.0,79.0,10.0,0.0,-4.2,-25.3,20.0,11.0,15.0,3.0,7.0,3.0,125.0,2.0,10.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,4.0,4.0,157.0,5.0,77.0,19.0,0.0,0.0,-16.2,-13.1,6.0,1.0,2.0,0.0,11.0,1.0,42.0,2.0,5.0,
