Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,20,ATL,NBA,SG,75.0,59.0,27.3,3.7,8.8,0.419,1.8,4.7,0.385,1.9,4.1,0.457,0.522,0.5,0.7,0.732,0.8,2.5,3.3,2.9,0.9,0.3,1.5,2.1,9.7,
2019-20,21,ATL,NBA,SG,56.0,48.0,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,
2020-21,22,ATL,NBA,SG,69.0,49.0,30.8,4.6,10.6,0.432,2.0,5.6,0.363,2.6,5.0,0.51,0.528,0.7,0.9,0.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9,
2021-22,23,ATL,NBA,SF,74.0,60.0,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3.0,3.4,2.7,0.7,0.4,1.2,2.5,12.1,
2022-23,24,SAC,NBA,SG,75.0,75.0,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,
2023-24,25,SAC,NBA,SG,64.0,59.0,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2.0,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,
2024-25,26,2TM,NBA,SG,69.0,31.0,24.3,3.7,8.8,0.425,1.9,5.7,0.338,1.8,3.1,0.587,0.535,0.5,0.7,0.714,0.4,2.5,3.0,2.3,1.0,0.3,1.0,1.8,9.9,
2024-25,26,SAC,NBA,SG,43.0,15.0,20.9,3.0,7.2,0.413,1.4,4.8,0.302,1.5,2.4,0.629,0.513,0.5,0.7,0.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,
2024-25,26,CHI,NBA,SG,26.0,16.0,30.0,5.0,11.3,0.439,2.7,7.2,0.376,2.3,4.2,0.546,0.558,0.6,0.8,0.714,0.4,2.8,3.3,3.2,1.2,0.3,1.2,2.0,13.2,
2025-26,27,CHI,NBA,SF,14.0,5.0,26.1,5.1,10.4,0.49,1.5,4.9,0.304,3.6,5.4,0.658,0.562,1.9,2.2,0.839,0.6,3.3,3.9,2.7,0.9,0.9,1.5,2.4,13.5,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,496.0,386.0,28.1,4.4,9.9,0.443,2.1,5.6,0.374,2.3,4.3,0.533,0.549,0.8,1.0,0.765,0.6,2.8,3.4,2.9,0.9,0.4,1.2,2.2,11.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,274.0,216.0,29.6,4.3,10.1,0.431,2.1,5.4,0.379,2.3,4.6,0.491,0.533,0.7,0.9,0.788,0.6,2.9,3.5,3.2,0.9,0.4,1.3,2.4,11.4,
SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),SAC (3 Yrs),,182.0,149.0,25.6,4.4,9.5,0.459,2.1,5.8,0.369,2.2,3.7,0.597,0.571,0.8,1.1,0.733,0.5,2.7,3.3,2.5,0.9,0.3,1.0,2.1,11.7,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,40.0,21.0,28.7,5.0,11.0,0.456,2.3,6.4,0.357,2.7,4.6,0.592,0.559,1.0,1.3,0.788,0.5,3.0,3.5,3.0,1.1,0.5,1.3,2.1,13.3,
