"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2018-19,20,BRK,NBA,SF,63.0,46.0,1294.0,0.0,5.0,33.0,59.0,3.0,-0.5,-0.6,26.0,22.0,62.0,17.0,38.0,5.0,123.0,5.0,42.0,
2019-20,21,BRK,NBA,PF,47.0,9.0,684.0,0.0,0.0,0.0,82.0,18.0,-2.0,-1.7,19.0,13.0,37.0,6.0,12.0,7.0,131.0,2.0,14.0,
2020-21,22,3TM,NBA,SF,21.0,0.0,125.0,0.0,0.0,4.0,59.0,36.0,-0.2,2.5,7.0,5.0,8.0,1.0,0.0,0.0,25.0,0.0,2.0,
2020-21,22,BRK,NBA,PF,5.0,0.0,16.0,0.0,0.0,0.0,0.0,100.0,-18.5,-23.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,
2020-21,22,HOU,NBA,SF,11.0,0.0,75.0,0.0,0.0,7.0,54.0,39.0,-2.4,5.8,5.0,3.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,
2020-21,22,MIL,NBA,SF,5.0,0.0,34.0,0.0,0.0,0.0,100.0,0.0,13.0,7.5,2.0,2.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,131.0,55.0,2103.0,0.0,3.0,20.0,66.0,10.0,-1.0,-0.8,52.0,40.0,107.0,24.0,50.0,12.0,279.0,7.0,58.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,34.0,1316.0,0.0,3.0,20.0,66.0,10.0,-1.0,-0.8,33.0,25.0,67.0,15.0,31.0,8.0,175.0,4.0,36.0,
,,,,,,,,,,,,,,,,,,,,,,,,
BRK (3 Yrs),BRK (3 Yrs),BRK (3 Yrs),BRK (3 Yrs),,115.0,55.0,1994.0,0.0,3.0,21.0,66.0,9.0,-1.2,-1.2,45.0,35.0,99.0,23.0,50.0,12.0,259.0,7.0,56.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,11.0,0.0,75.0,0.0,0.0,7.0,54.0,39.0,-2.4,5.8,5.0,3.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,0.0,34.0,0.0,0.0,0.0,100.0,0.0,13.0,7.5,2.0,2.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,
