Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2019-20,23,LAC,NBA,SF,41.0,6.0,362.0,4.8,10.3,0.468,0.9,2.6,0.35,3.9,7.7,0.508,0.513,2.4,3.5,0.667,1.3,5.9,7.2,6.9,1.4,0.7,2.4,6.0,12.9,114.0,109.0,
2020-21,24,LAC,NBA,SG,67.0,10.0,1263.0,7.0,13.7,0.509,1.5,3.6,0.418,5.5,10.2,0.541,0.563,3.1,3.7,0.83,2.2,7.3,9.5,4.1,1.1,0.5,1.6,4.9,18.5,125.0,112.0,
2021-22,25,LAC,NBA,SF,81.0,33.0,2317.0,7.1,14.6,0.484,1.6,4.4,0.365,5.5,10.2,0.535,0.539,2.7,3.5,0.78,2.2,6.8,9.0,4.4,1.2,0.4,1.8,3.8,18.4,117.0,112.0,
2022-23,26,LAC,NBA,SG,81.0,36.0,1872.0,7.1,13.7,0.519,2.0,5.2,0.389,5.1,8.5,0.598,0.593,2.4,3.1,0.78,2.0,5.2,7.2,4.8,1.1,0.6,2.1,3.9,18.7,123.0,117.0,
2023-24,27,LAC,NBA,SG,75.0,71.0,1873.0,6.7,13.0,0.515,1.9,5.4,0.348,4.8,7.6,0.633,0.587,2.1,2.5,0.832,2.3,4.4,6.7,3.1,1.1,0.4,1.3,3.8,17.3,127.0,119.0,
2024-25,28,2TM,NBA,SG,67.0,13.0,1414.0,7.0,14.0,0.496,2.0,5.5,0.368,4.9,8.5,0.58,0.569,1.6,2.3,0.691,2.3,4.4,6.8,4.1,1.6,0.5,1.6,4.3,17.6,120.0,116.0,
2024-25,28,LAC,NBA,SG,37.0,12.0,732.0,5.9,13.1,0.446,1.7,5.0,0.347,4.1,8.1,0.508,0.513,1.5,2.2,0.719,2.2,5.0,7.2,4.0,1.9,0.7,1.7,4.6,15.0,113.0,112.0,
2024-25,28,ATL,NBA,SG,30.0,1.0,682.0,8.1,15.0,0.541,2.3,6.0,0.386,5.8,8.9,0.646,0.619,1.6,2.5,0.667,2.5,3.8,6.3,4.3,1.3,0.3,1.5,4.1,20.2,127.0,120.0,
2025-26,29,BRK,NBA,SG,14.0,14.0,380.0,6.3,13.5,0.467,1.9,5.4,0.357,4.4,8.1,0.54,0.538,2.4,3.0,0.826,2.7,3.0,5.7,6.2,1.4,0.4,1.5,5.8,17.0,125.0,126.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,426.0,183.0,9481.0,6.9,13.7,0.501,1.8,4.8,0.371,5.1,8.9,0.57,0.566,2.4,3.0,0.783,2.2,5.5,7.7,4.3,1.2,0.5,1.7,4.2,17.9,122.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (6 Yrs),LAC (6 Yrs),LAC (6 Yrs),LAC (6 Yrs),,382.0,168.0,8419.0,6.8,13.6,0.498,1.7,4.6,0.371,5.1,9.0,0.565,0.562,2.4,3.1,0.789,2.1,5.8,7.9,4.2,1.2,0.5,1.7,4.2,17.7,121.0,114.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,30.0,1.0,682.0,8.1,15.0,0.541,2.3,6.0,0.386,5.8,8.9,0.646,0.619,1.6,2.5,0.667,2.5,3.8,6.3,4.3,1.3,0.3,1.5,4.1,20.2,127.0,120.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,14.0,14.0,380.0,6.3,13.5,0.467,1.9,5.4,0.357,4.4,8.1,0.54,0.538,2.4,3.0,0.826,2.7,3.0,5.7,6.2,1.4,0.4,1.5,5.8,17.0,125.0,126.0,
