Season,Team,Lg,Salary
2019-20,Minnesota Timberwolves,NBA,"$1,400,000"
2020-21,Minnesota Timberwolves,NBA,"$1,517,981"
2021-22,Minnesota Timberwolves,NBA,"$1,782,621"
2022-23,Minnesota Timberwolves,NBA,"$1,930,681"
2023-24,Detroit Pistons,NBA,"$116,075"
2023-24,Memphis Grizzlies,NBA,"$116,075"
2023-24,Memphis Grizzlies,NBA,"$116,075"
2023-24,Detroit Pistons,NBA,"$24,885"
2024-25,New Orleans Pelicans,NBA,"$278,782"
2024-25,Washington Wizards,NBA,"$167,961"
Career,(may be incomplete),,"$7,451,136"
