"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2000-01,23.0,DET,NBA,30:23,7.0,14.0,1.0,2.0,7.0,14.0,6.0,8.0,3.0,7.0,7.0,9.0,5.0,1.0,5.0,6.0,19.0,16.2
2001-02,24.0,SAC,NBA,24:08,6.0,13.0,1.0,3.0,5.0,10.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,13.0,10.2
2002-03,25.0,SAC,NBA,8:12,3.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,7.0,2.4
2003-04,26.0,CLE,NBA,33:10,4.0,8.0,0.0,1.0,4.0,8.0,1.0,2.0,1.0,3.0,4.0,8.0,2.0,1.0,2.0,5.0,8.0,9.0
2004-05,27.0,SEA,NBA,30:46,3.0,8.0,0.0,2.0,3.0,6.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,8.0,4.9
2005-06,28.0,SEA,NBA,21:19,4.0,9.0,1.0,2.0,3.0,7.0,4.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,11.0,9.7
Career,,,,33:10,7.0,14.0,1.0,3.0,7.0,14.0,6.0,8.0,3.0,7.0,7.0,9.0,5.0,1.0,5.0,6.0,19.0,16.2
,,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,SAC,NBA,24:08,6.0,13.0,1.0,3.0,5.0,10.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,0.0,3.0,2.0,13.0,10.2
2 Seasons,,SEA,NBA,30:46,4.0,9.0,1.0,2.0,3.0,7.0,4.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,11.0,9.7
1 Season,,DET,NBA,30:23,7.0,14.0,1.0,2.0,7.0,14.0,6.0,8.0,3.0,7.0,7.0,9.0,5.0,1.0,5.0,6.0,19.0,16.2
1 Season,,CLE,NBA,33:10,4.0,8.0,0.0,1.0,4.0,8.0,1.0,2.0,1.0,3.0,4.0,8.0,2.0,1.0,2.0,5.0,8.0,9.0
