"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2004-05,24,MIA,NBA,PG,15.0,0.0,264.0,87.0,13.0,0.0,0.0,0.0,0.6,-6.1,6.0,3.0,6.0,3.0,7.0,,59.0,0.0,7.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,26,ORL,NBA,SG,4.0,0.0,65.0,19.0,80.0,0.0,0.0,0.0,-10.3,0.0,0.0,2.0,3.0,0.0,4.0,1.0,11.0,3.0,1.0,
2007-08,27,ORL,NBA,PG,10.0,0.0,148.0,79.0,21.0,0.0,0.0,0.0,0.8,-1.7,3.0,2.0,8.0,1.0,5.0,3.0,17.0,1.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,31,BOS,NBA,SG,20.0,0.0,212.0,43.0,57.0,0.0,0.0,0.0,-0.5,-1.8,1.0,1.0,8.0,0.0,1.0,6.0,34.0,1.0,4.0,
2012-13,32,MEM,NBA,PG,14.0,0.0,114.0,98.0,2.0,0.0,0.0,0.0,-8.8,-11.7,3.0,0.0,3.0,0.0,1.0,2.0,8.0,0.0,2.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,63.0,0.0,803.0,70.0,30.0,0.0,0.0,0.0,-1.9,-4.5,13.0,8.0,28.0,4.0,18.0,12.0,129.0,5.0,17.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,1045.0,70.0,30.0,0.0,0.0,0.0,-1.9,-4.5,17.0,10.0,36.0,5.0,23.0,,168.0,7.0,22.0,
,,,,,,,,,,,,,,,,,,,,,,,,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,14.0,0.0,213.0,61.0,39.0,0.0,0.0,0.0,-2.6,-1.2,3.0,4.0,11.0,1.0,9.0,4.0,28.0,4.0,4.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,20.0,0.0,212.0,43.0,57.0,0.0,0.0,0.0,-0.5,-1.8,1.0,1.0,8.0,0.0,1.0,6.0,34.0,1.0,4.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,15.0,0.0,264.0,87.0,13.0,0.0,0.0,0.0,0.6,-6.1,6.0,3.0,6.0,3.0,7.0,,59.0,0.0,7.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,14.0,0.0,114.0,98.0,2.0,0.0,0.0,0.0,-8.8,-11.7,3.0,0.0,3.0,0.0,1.0,2.0,8.0,0.0,2.0,
