"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2004-05,21.0,CHI,NBA,40:34,13.0,24.0,6.0,11.0,9.0,20.0,13.0,14.0,2.0,7.0,8.0,8.0,3.0,2.0,6.0,6.0,35.0,30.1
2005-06,22.0,CHI,NBA,47:47,14.0,28.0,9.0,13.0,13.0,23.0,19.0,21.0,3.0,7.0,8.0,7.0,4.0,1.0,6.0,6.0,39.0,34.6
2006-07,23.0,CHI,NBA,47:22,18.0,32.0,6.0,12.0,13.0,22.0,17.0,19.0,3.0,7.0,8.0,9.0,3.0,2.0,7.0,6.0,48.0,32.8
2007-08,24.0,CHI,NBA,48:14,16.0,27.0,6.0,12.0,14.0,22.0,13.0,15.0,4.0,8.0,8.0,6.0,3.0,1.0,6.0,6.0,39.0,29.0
2008-09,25.0,CHI,NBA,49:43,15.0,26.0,8.0,12.0,13.0,21.0,14.0,16.0,4.0,7.0,8.0,8.0,4.0,2.0,7.0,6.0,43.0,31.4
2009-10,26.0,DET,NBA,47:21,12.0,21.0,7.0,11.0,9.0,16.0,11.0,11.0,3.0,7.0,7.0,8.0,3.0,2.0,6.0,6.0,39.0,31.4
2010-11,27.0,DET,NBA,45:00,12.0,21.0,7.0,11.0,9.0,16.0,10.0,10.0,4.0,7.0,9.0,7.0,3.0,2.0,5.0,6.0,35.0,24.1
2011-12,28.0,DET,NBA,41:20,13.0,22.0,9.0,10.0,7.0,14.0,10.0,11.0,2.0,5.0,6.0,8.0,3.0,2.0,9.0,5.0,45.0,38.0
2012-13,29.0,CHA,NBA,34:57,14.0,21.0,8.0,12.0,11.0,16.0,5.0,6.0,3.0,6.0,6.0,7.0,3.0,2.0,6.0,6.0,34.0,25.9
2013-14,30.0,CHA,NBA,26:20,5.0,11.0,2.0,3.0,5.0,8.0,4.0,4.0,2.0,5.0,6.0,5.0,2.0,1.0,4.0,4.0,12.0,10.3
2014-15,31.0,ORL,NBA,26:08,7.0,12.0,3.0,5.0,5.0,10.0,6.0,7.0,1.0,4.0,4.0,4.0,2.0,1.0,5.0,4.0,22.0,17.0
Career,,,,49:43,18.0,32.0,9.0,13.0,14.0,23.0,19.0,21.0,4.0,8.0,9.0,9.0,4.0,2.0,9.0,6.0,48.0,38.0
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,CHI,NBA,49:43,18.0,32.0,9.0,13.0,14.0,23.0,19.0,21.0,4.0,8.0,8.0,9.0,4.0,2.0,7.0,6.0,48.0,34.6
3 Seasons,,DET,NBA,47:21,13.0,22.0,9.0,11.0,9.0,16.0,11.0,11.0,4.0,7.0,9.0,8.0,3.0,2.0,9.0,6.0,45.0,38.0
2 Seasons,,CHA,NBA,34:57,14.0,21.0,8.0,12.0,11.0,16.0,5.0,6.0,3.0,6.0,6.0,7.0,3.0,2.0,6.0,6.0,34.0,25.9
1 Season,,ORL,NBA,26:08,7.0,12.0,3.0,5.0,5.0,10.0,6.0,7.0,1.0,4.0,4.0,4.0,2.0,1.0,5.0,4.0,22.0,17.0
