Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,22,SAS,NBA,PG,21.0,0.0,241.0,28.0,78.0,0.359,10.0,37.0,0.27,18.0,41.0,0.439,0.423,12.0,14.0,0.857,4.0,13.0,17.0,22.0,9.0,1.0,20.0,20.0,78.0,0.0,
2005-06,23,SAS,NBA,PG,7.0,0.0,47.0,10.0,30.0,0.333,1.0,6.0,0.167,9.0,24.0,0.375,0.35,4.0,5.0,0.8,1.0,3.0,4.0,8.0,0.0,0.0,3.0,8.0,25.0,0.0,
2006-07,24,SAS,NBA,PG,8.0,0.0,20.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,31,MEM,NBA,SG,7.0,0.0,115.0,21.0,45.0,0.467,4.0,12.0,0.333,17.0,33.0,0.515,0.511,9.0,13.0,0.692,2.0,10.0,12.0,12.0,3.0,0.0,9.0,11.0,55.0,0.0,
2014-15,32,MEM,NBA,PG,10.0,0.0,175.0,31.0,73.0,0.425,4.0,16.0,0.25,27.0,57.0,0.474,0.452,10.0,12.0,0.833,4.0,16.0,20.0,21.0,5.0,0.0,4.0,16.0,76.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,53.0,0.0,598.0,90.0,232.0,0.388,19.0,73.0,0.26,71.0,159.0,0.447,0.429,37.0,46.0,0.804,12.0,42.0,54.0,64.0,17.0,1.0,39.0,57.0,236.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,925.0,139.0,359.0,0.388,29.0,113.0,0.26,110.0,246.0,0.447,0.429,57.0,71.0,0.804,19.0,65.0,84.0,99.0,26.0,2.0,60.0,88.0,365.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (3 Yrs),SAS (3 Yrs),SAS (3 Yrs),SAS (3 Yrs),,36.0,0.0,308.0,38.0,114.0,0.333,11.0,45.0,0.244,27.0,69.0,0.391,0.382,18.0,21.0,0.857,6.0,16.0,22.0,31.0,9.0,1.0,26.0,30.0,105.0,0.0,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,17.0,0.0,290.0,52.0,118.0,0.441,8.0,28.0,0.286,44.0,90.0,0.489,0.475,19.0,25.0,0.76,6.0,26.0,32.0,33.0,8.0,0.0,13.0,27.0,131.0,0.0,
