"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2005-06,20,NOK,NBA,PF,29,1,268,0,0,0,97,3,-9.2,-6.5,4,5,9,2,8,0,6,1,9,
2006-07,21,NOK,NBA,PF,21,3,162,0,0,15,85,0,-8.1,-6.6,2,1,4,4,7,2,8,0,3,
2007-08,22,DAL,NBA,C,79,1,1557,0,0,0,37,63,-0.9,-10.0,24,32,93,12,96,3,127,24,48,
2008-09,23,DAL,NBA,C,81,0,1574,0,0,0,28,72,3.3,1.4,22,24,71,22,100,2,100,20,51,
2009-10,24,ORL,NBA,PF,50,3,648,0,0,6,94,1,5.4,-3.5,9,7,33,6,32,0,45,11,16,
2010-11,25,ORL,NBA,PF,76,51,1980,0,0,11,85,4,5.4,-1.3,28,32,77,17,115,3,141,23,47,
2011-12,26,BOS,NBA,PF,59,39,1868,0,0,0,97,3,4.7,4.3,17,26,80,13,72,6,133,9,60,
2012-13,27,BOS,NBA,PF,81,69,2239,0,0,28,71,1,-3.6,-7.2,23,27,94,16,78,1,196,18,45,
2013-14,28,BOS,NBA,PF,82,73,2266,0,0,0,97,2,-8.1,-7.0,28,36,103,22,110,6,201,20,48,
2014-15,29,BOS,NBA,PF,82,43,1929,0,0,0,92,8,-2.5,-4.8,20,28,74,14,103,6,254,23,56,
2015-16,30,LAL,NBA,PF,66,0,1342,0,0,1,67,32,-1.2,13.9,13,11,75,10,77,4,175,17,35,
2016-17,31,LAC,NBA,PF,52,0,577,0,0,1,83,16,-13.3,-20.3,8,12,21,5,49,0,53,14,16,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,758,283,16410,0,0,6,76,18,-1.1,-2.9,198,241,734,143,847,33,1439,180,434,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,31,1775,0,0,6,76,18,-1.1,-2.9,21,26,79,15,92,4,156,19,47,
,,,,,,,,,,,,,,,,,,,,,,,,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,304,224,8302,0,0,8,89,3,-2.7,-4.0,88,117,351,65,363,19,784,70,209,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,160,1,3131,0,0,0,32,68,1.2,-4.3,46,56,164,34,196,5,227,44,99,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,126,54,2628,0,0,10,88,3,5.4,-1.8,37,39,110,23,147,3,186,34,63,
NOK (2 Yrs),NOK (2 Yrs),NOK (2 Yrs),NOK (2 Yrs),,50,4,430,0,0,6,93,2,-8.8,-6.6,6,6,13,6,15,2,14,1,12,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,66,0,1342,0,0,1,67,32,-1.2,13.9,13,11,75,10,77,4,175,17,35,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,52,0,577,0,0,1,83,16,-13.3,-20.3,8,12,21,5,49,0,53,14,16,
