Season,Team,Lg,Salary
2005-06,Indiana Pacers,NBA,"$1,318,920"
2006-07,Indiana Pacers,NBA,"$1,417,800"
2007-08,Indiana Pacers,NBA,"$1,516,800"
2008-09,Indiana Pacers,NBA,"$2,329,805"
2009-10,Indiana Pacers,NBA,"$9,930,500"
2010-11,Indiana Pacers,NBA,"$10,973,202"
2011-12,Indiana Pacers,NBA,"$12,015,904"
2012-13,Indiana Pacers,NBA,"$13,058,606"
2013-14,Philadelphia 76ers,NBA,"$14,021,788"
2014-15,Phoenix Suns,NBA,"$2,077,000"
2015-16,Detroit Pistons,NBA,"$2,170,465"
Career,(may be incomplete),,"$70,830,790"
