"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2005-06,22,DET,NBA,PF,26.0,0.0,159.0,0.426,9.0,1.0,0.389,0.056,0.352,0.204,0.0,0.426,0.619,0.0,0.421,0.182,,0.652,0.167,8.0,,0.0,0.0,
2006-07,23,DET,NBA,C,67.0,8.0,943.0,0.5,6.1,1.0,0.508,0.156,0.21,0.126,0.0,0.5,0.602,0.415,0.4,0.364,,0.664,0.21,45.0,,0.0,0.0,
2007-08,24,DET,NBA,C,82.0,7.0,1768.0,0.538,6.9,0.998,0.482,0.146,0.215,0.155,0.002,0.539,0.651,0.462,0.396,0.464,0.0,0.642,0.231,86.0,0.0,1.0,0.0,6MOY-9
2008-09,25,DET,NBA,C,78.0,4.0,1408.0,0.575,6.1,0.997,0.572,0.091,0.163,0.172,0.003,0.577,0.721,0.69,0.346,0.255,0.0,0.668,0.303,88.0,0.0,0.0,0.0,
2009-10,26,DET,NBA,C,76.0,29.0,1550.0,0.511,8.0,0.998,0.414,0.147,0.214,0.222,0.002,0.512,0.663,0.475,0.427,0.337,0.0,0.656,0.147,54.0,0.0,0.0,0.0,
2010-11,27,DET,NBA,PF,57.0,14.0,930.0,0.492,6.5,1.0,0.492,0.217,0.175,0.116,0.0,0.492,0.602,0.39,0.364,0.409,,0.656,0.159,22.0,,0.0,0.0,
2011-12,28,DET,NBA,PF,65.0,42.0,1466.0,0.478,9.0,0.995,0.358,0.162,0.198,0.277,0.005,0.48,0.599,0.468,0.434,0.368,0.0,0.689,0.157,45.0,0.0,1.0,0.0,
2012-13,29,DET,NBA,PF,72.0,71.0,1789.0,0.446,9.7,1.0,0.333,0.19,0.144,0.333,0.0,0.446,0.645,0.448,0.288,0.316,,0.75,0.147,55.0,,0.0,0.0,
2013-14,30,ORL,NBA,PF,34.0,13.0,488.0,0.448,8.8,1.0,0.248,0.362,0.19,0.2,0.0,0.448,0.462,0.605,0.35,0.238,,0.702,0.076,6.0,,0.0,0.0,
2014-15,31,CHO,NBA,PF,61.0,0.0,878.0,0.422,7.1,1.0,0.349,0.302,0.229,0.12,0.0,0.422,0.552,0.431,0.273,0.304,,0.753,0.078,11.0,,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,618.0,188.0,11379.0,0.495,7.7,0.998,0.425,0.172,0.195,0.207,0.002,0.496,0.637,0.47,0.376,0.341,0.0,0.681,0.179,420.0,0.0,2.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,25.0,1510.0,0.495,7.7,0.998,0.425,0.172,0.195,0.207,0.002,0.496,0.637,0.47,0.376,0.341,0.0,0.681,0.179,56.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (8 Yrs),DET (8 Yrs),DET (8 Yrs),DET (8 Yrs),,523.0,175.0,10013.0,0.503,7.7,0.998,0.438,0.154,0.192,0.214,0.002,0.504,0.646,0.463,0.387,0.346,0.0,0.676,0.191,403.0,0.0,2.0,0.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,61.0,0.0,878.0,0.422,7.1,1.0,0.349,0.302,0.229,0.12,0.0,0.422,0.552,0.431,0.273,0.304,,0.753,0.078,11.0,,0.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,34.0,13.0,488.0,0.448,8.8,1.0,0.248,0.362,0.19,0.2,0.0,0.448,0.462,0.605,0.35,0.238,,0.702,0.076,6.0,,0.0,0.0,
