"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Rashad McCants,,1.7,1.6,0.6,-0.3,
Caleb Houstan,85.5,1.8,1.5,0.7,,
Richie Regan,82.8,1.6,1.5,0.4,,
Sidney Lowe,81.4,1.7,1.5,0.5,0.3,
Quinn Cook,73.3,1.8,1.6,0.3,0.2,0.2
Patrick McCaw,72.8,1.7,1.4,0.6,0.5,0.1
Fred LaCour,72.6,1.7,1.7,-0.1,,
Corky Devlin,71.8,1.8,1.2,0.8,,
Andrew Harrison,71.6,1.7,1.6,-0.1,,
Steve Bracey,71.4,2.1,1.5,0.3,,
Frank Kudelka,71.1,2.4,1.7,0.4,-0.4,
