Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2005-06,21,NJN,NBA,SG,39.0,0.0,370.0,0.7,0.386,0.185,0.272,2.5,7.1,4.8,5.2,0.6,0.7,18.8,14.2,-0.8,0.3,-0.5,-0.062,-7.9,-0.9,-8.8,-0.6,
2006-07,22,NJN,NBA,SG,63.0,23.0,1137.0,8.1,0.5,0.235,0.291,4.0,14.1,9.1,7.6,1.4,0.7,13.2,13.4,0.0,1.1,1.2,0.049,-3.5,0.2,-3.3,-0.4,
2007-08,23,2TM,NBA,SG,56.0,10.0,1232.0,8.4,0.488,0.334,0.204,3.8,10.0,6.9,10.5,1.2,1.3,12.2,15.2,0.0,0.8,0.8,0.029,-2.9,0.0,-3.0,-0.3,
2007-08,23,NJN,NBA,SG,41.0,10.0,1056.0,8.3,0.477,0.352,0.202,3.8,9.9,6.9,10.4,1.3,1.3,11.1,15.2,-0.1,0.6,0.5,0.025,-3.0,0.0,-3.0,-0.3,
2007-08,23,DAL,NBA,SG,15.0,0.0,176.0,9.0,0.566,0.214,0.214,3.4,10.8,7.2,11.4,0.6,1.7,19.3,15.1,0.0,0.2,0.2,0.056,-2.6,-0.1,-2.7,0.0,
2008-09,24,DAL,NBA,SF,65.0,53.0,1552.0,8.6,0.501,0.346,0.22,2.3,7.7,5.0,7.4,1.6,1.3,10.3,15.6,0.3,1.2,1.4,0.044,-3.4,-0.1,-3.5,-0.6,
2009-10,25,TOR,NBA,SF,67.0,10.0,1392.0,8.6,0.502,0.434,0.193,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,0.1,0.2,0.3,0.011,-1.9,-1.4,-3.3,-0.4,
2010-11,26,SAC,NBA,SG,7.0,0.0,31.0,-4.8,0.125,0.5,0.0,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,-0.1,0.0,-0.1,-0.179,-11.2,-3.2,-14.3,-0.1,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,297.0,96.0,5714.0,7.9,0.49,0.34,0.223,3.2,10.6,7.0,7.9,1.3,1.0,12.1,15.1,-0.6,3.6,3.1,0.026,-3.3,-0.4,-3.7,-2.4,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,27.0,1578.0,7.9,0.49,0.34,0.223,3.2,10.6,7.0,7.9,1.3,1.0,12.1,15.1,-0.2,1.0,0.8,0.026,-3.3,-0.4,-3.7,-0.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),,143.0,33.0,2563.0,7.1,0.474,0.283,0.247,3.7,11.4,7.5,8.4,1.2,0.9,13.0,14.3,-0.8,2.1,1.2,0.023,-4.0,0.0,-4.0,-1.3,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,80.0,53.0,1728.0,8.6,0.507,0.334,0.22,2.4,8.0,5.3,7.8,1.5,1.3,11.1,15.5,0.3,1.3,1.6,0.045,-3.3,-0.1,-3.5,-0.6,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,67.0,10.0,1392.0,8.6,0.502,0.434,0.193,3.3,12.6,8.1,7.4,1.1,0.6,11.8,16.1,0.1,0.2,0.3,0.011,-1.9,-1.4,-3.3,-0.4,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,31.0,-4.8,0.125,0.5,0.0,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,-0.1,0.0,-0.1,-0.179,-11.2,-3.2,-14.3,-0.1,
