"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2007-08,24,BOS,NBA,EC1,ATL,W (4-3),7.0,17.7,6.7,3.4,0.3,0.0,0.4,16.0,30.0,0.533,0.0,0.0,16.0,30.0,0.533,0.533,15.0,24.0,0.625,14.0,10.0,24.0,2.0,0.0,3.0,8.0,22.0,47.0,
2007-08,24,BOS,NBA,ECS,CLE,W (4-3),6.0,12.3,4.0,2.3,0.3,0.0,0.0,7.0,18.0,0.389,0.0,0.0,7.0,18.0,0.389,0.389,10.0,16.0,0.625,8.0,6.0,14.0,2.0,0.0,0.0,1.0,7.0,24.0,
2007-08,24,BOS,NBA,ECF,DET,W (4-2),4.0,4.5,2.0,1.3,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,4.0,5.0,0.8,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,8.0,
2007-08,24,BOS,NBA,FIN,LAL,W (4-2),6.0,8.8,6.2,3.2,0.0,0.0,0.0,11.0,20.0,0.55,0.0,0.0,11.0,20.0,0.55,0.55,15.0,21.0,0.714,7.0,12.0,19.0,0.0,0.0,0.0,2.0,13.0,37.0,
2008-09,25,BOS,NBA,EC1,CHI,W (4-3),2.0,12.0,5.0,4.5,0.0,0.0,0.0,3.0,7.0,0.429,0.0,0.0,3.0,7.0,0.429,0.429,4.0,6.0,0.667,1.0,8.0,9.0,0.0,0.0,0.0,1.0,3.0,10.0,
2009-10,26,CLE,NBA,ECS,BOS,L (2-4),3.0,3.0,1.7,0.7,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,
2010-11,27,MEM,NBA,WC1,SAS,W (4-2),2.0,3.0,1.0,0.5,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
2010-11,27,MEM,NBA,WCS,OKC,L (3-4),2.0,4.0,2.5,1.5,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,
4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),4 Yrs (8 Series),6-2,32.0,9.9,4.3,2.4,0.1,0.0,0.1,42.0,92.0,0.457,0.0,0.0,42.0,92.0,0.457,0.457,54.0,80.0,0.675,36.0,41.0,77.0,4.0,0.0,3.0,14.0,51.0,138.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),1-0,2.0,3.0,1.0,0.5,0.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),2-0,9.0,16.4,6.3,3.7,0.2,0.0,0.3,19.0,37.0,0.514,0.0,0.0,19.0,37.0,0.514,0.514,19.0,30.0,0.633,15.0,18.0,33.0,2.0,0.0,3.0,9.0,25.0,57.0,
WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),WCS (1 Series),0-1,2.0,4.0,2.5,1.5,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),1-1,9.0,9.2,3.2,1.8,0.2,0.0,0.0,8.0,22.0,0.364,0.0,0.0,8.0,22.0,0.364,0.364,13.0,20.0,0.65,9.0,7.0,16.0,2.0,0.0,0.0,2.0,10.0,29.0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),1-0,4.0,4.5,2.0,1.3,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,4.0,5.0,0.8,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,8.0,
FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),FIN (1 Series),1-0,6.0,8.8,6.2,3.2,0.0,0.0,0.0,11.0,20.0,0.55,0.0,0.0,11.0,20.0,0.55,0.55,15.0,21.0,0.714,7.0,12.0,19.0,0.0,0.0,0.0,2.0,13.0,37.0,
