Season,Team,Lg,Salary
2007-08,Atlanta Hawks,NBA,"$3,745,800"
2008-09,Atlanta Hawks,NBA,"$4,026,720"
2009-10,Atlanta Hawks,NBA,"$4,307,640"
2010-11,Atlanta Hawks,NBA,"$5,444,857"
2011-12,Atlanta Hawks,NBA,"$12,000,000"
2012-13,Atlanta Hawks,NBA,"$12,000,000"
2013-14,Atlanta Hawks,NBA,"$12,000,000"
2014-15,Atlanta Hawks,NBA,"$12,000,000"
2015-16,Atlanta Hawks,NBA,"$12,000,000"
2016-17,Boston Celtics,NBA,"$26,540,100"
2017-18,Boston Celtics,NBA,"$27,734,405"
2018-19,Boston Celtics,NBA,"$28,928,710"
2019-20,Philadelphia 76ers,NBA,"$28,000,000"
2020-21,Oklahoma City Thunder,NBA,"$27,500,000"
2021-22,Boston Celtics,NBA,"$27,000,000"
2022-23,Boston Celtics,NBA,"$26,500,000"
2023-24,Boston Celtics,NBA,"$10,000,000"
2024-25,Boston Celtics,NBA,"$9,500,000"
Career,(may be incomplete),,"$289,228,232"
