"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2007-08,21,MIL,NBA,PG,17.0,7.0,450.0,0.436,9.4,0.94,0.385,0.239,0.137,0.179,0.06,0.436,0.533,0.321,0.25,0.524,0.429,0.354,0.667,0.026,3.0,0.0,,2.0,0.0,
2008-09,22,MIL,NBA,PG,79.0,39.0,2173.0,0.445,8.2,0.956,0.43,0.195,0.135,0.196,0.044,0.457,0.541,0.424,0.41,0.342,0.176,0.381,0.833,0.018,12.0,0.118,0.5,1.0,0.0,
2009-10,23,MIN,NBA,PG,82.0,1.0,1732.0,0.456,8.2,0.973,0.414,0.198,0.155,0.205,0.027,0.467,0.543,0.391,0.419,0.421,0.067,0.369,1.0,0.022,12.0,0.0,,1.0,0.0,
2010-11,24,CLE,NBA,PG,81.0,38.0,2133.0,0.466,8.0,0.981,0.443,0.227,0.102,0.209,0.019,0.472,0.578,0.352,0.354,0.432,0.2,0.284,0.333,0.028,17.0,0.067,0.0,0.0,0.0,
2011-12,25,2TM,NBA,PG,64.0,23.0,1707.0,0.428,10.7,0.828,0.319,0.258,0.087,0.165,0.172,0.425,0.594,0.315,0.265,0.355,0.443,0.296,0.558,0.009,5.0,0.052,0.2,0.0,0.0,
2011-12,25,CLE,NBA,PG,41.0,4.0,1006.0,0.398,10.7,0.825,0.299,0.274,0.082,0.169,0.175,0.394,0.557,0.309,0.241,0.317,0.419,0.261,0.462,0.006,2.0,0.065,0.25,0.0,0.0,
2011-12,25,LAL,NBA,PG,23.0,19.0,701.0,0.479,10.6,0.834,0.351,0.232,0.095,0.156,0.166,0.477,0.649,0.327,0.3,0.424,0.486,0.345,0.706,0.014,3.0,0.029,0.0,0.0,0.0,
2012-13,26,CHA,NBA,SG,61.0,0.0,1652.0,0.408,9.2,0.842,0.429,0.21,0.081,0.121,0.158,0.427,0.514,0.338,0.345,0.329,0.308,0.461,0.788,0.018,12.0,0.206,0.273,1.0,0.0,6MOY-12
2013-14,27,2TM,NBA,PG,83.0,19.0,2214.0,0.429,9.3,0.839,0.446,0.195,0.081,0.117,0.161,0.457,0.56,0.327,0.355,0.356,0.282,0.386,0.886,0.017,13.0,0.169,0.286,0.0,0.0,
2013-14,27,CHA,NBA,PG,55.0,7.0,1305.0,0.409,8.7,0.854,0.46,0.211,0.075,0.108,0.146,0.441,0.542,0.316,0.343,0.32,0.221,0.371,0.867,0.015,7.0,0.147,0.3,0.0,0.0,
