"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Al Thornton,,2.2,1.6,1.3,1.1,,
Bob Brannum,89.4,2.0,1.6,1.1,0.8,0.0,
Jericho Sims,87.2,2.6,1.5,1.5,1.3,,
Thon Maker,87.1,2.0,1.5,1.5,1.3,0.3,
Oshae Brissett,86.3,2.2,1.8,1.7,1.1,0.1,0.1
Jeff Ayres,83.4,2.4,1.3,1.2,1.0,0.3,0.2
James Hardy,83.3,2.5,1.8,1.3,0.7,,
Jerry Chambers,82.9,1.5,1.4,1.3,1.1,0.0,0.0
Brady Walker,81.8,2.8,1.9,1.2,1.0,,
Rory White,81.8,2.6,1.5,1.0,1.0,0.4,
Keita Bates-Diop,81.3,2.7,1.6,1.3,1.2,0.3,0.3
