Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,24,CHI,NBA,C,15.0,0.0,148.0,1.5,3.2,0.462,0.0,0.0,1.5,3.2,0.462,0.462,0.7,2.4,0.3,2.4,5.1,7.5,0.2,0.5,1.9,1.7,5.1,3.6,
2011-12,25,CHI,NBA,C,6.0,3.0,128.0,2.0,3.9,0.5,0.0,0.0,2.0,3.9,0.5,0.5,1.7,4.8,0.353,2.3,5.6,7.9,2.3,0.3,2.8,2.3,3.9,5.6,
2012-13,26,HOU,NBA,C,6.0,6.0,208.0,3.8,6.8,0.564,0.0,0.0,3.8,6.8,0.564,0.564,5.2,8.1,0.638,3.6,8.0,11.6,0.5,0.5,1.7,2.1,3.8,12.8,
2013-14,27,HOU,NBA,C,6.0,4.0,163.0,3.5,7.3,0.485,0.0,0.0,3.5,7.3,0.485,0.485,0.7,0.7,1.0,4.6,6.2,10.8,0.9,0.7,0.9,2.4,6.4,7.7,
2014-15,28,NOP,NBA,C,4.0,4.0,79.0,0.9,4.6,0.2,0.0,0.0,0.9,4.6,0.2,0.2,1.8,3.2,0.571,5.5,7.7,13.2,2.7,2.3,0.0,2.3,4.6,3.6,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,37.0,17.0,726.0,2.6,5.4,0.486,0.0,0.0,2.6,5.4,0.486,0.486,2.3,4.2,0.548,3.6,6.5,10.1,1.1,0.7,1.6,2.1,4.8,7.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,21.0,3.0,276.0,1.7,3.5,0.481,0.0,0.0,1.7,3.5,0.481,0.481,1.2,3.5,0.333,2.3,5.3,7.7,1.2,0.4,2.3,2.0,4.6,4.6,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,10.0,371.0,3.7,7.0,0.528,0.0,0.0,3.7,7.0,0.528,0.528,3.2,4.9,0.66,4.1,7.2,11.3,0.7,0.6,1.4,2.2,4.9,10.6,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,4.0,79.0,0.9,4.6,0.2,0.0,0.0,0.9,4.6,0.2,0.2,1.8,3.2,0.571,5.5,7.7,13.2,2.7,2.3,0.0,2.3,4.6,3.6,
