"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2008-09,22.0,SAC,NBA,41:38,8.0,16.0,0.0,2.0,8.0,16.0,14.0,15.0,10.0,11.0,19.0,5.0,3.0,4.0,5.0,6.0,23.0,22.2
2009-10,23.0,SAC,NBA,49:44,11.0,20.0,1.0,2.0,11.0,20.0,9.0,10.0,9.0,12.0,16.0,6.0,3.0,4.0,7.0,6.0,27.0,25.8
2010-11,24.0,SAC,NBA,38:40,10.0,16.0,0.0,1.0,10.0,16.0,7.0,8.0,6.0,10.0,14.0,5.0,3.0,3.0,5.0,6.0,22.0,23.3
2011-12,25.0,SAC,NBA,40:43,10.0,15.0,0.0,1.0,10.0,15.0,6.0,9.0,8.0,11.0,16.0,7.0,5.0,3.0,4.0,6.0,22.0,25.0
2012-13,26.0,SAC,NBA,44:58,9.0,18.0,0.0,1.0,9.0,18.0,7.0,9.0,7.0,13.0,16.0,4.0,2.0,3.0,4.0,6.0,23.0,20.3
2013-14,27.0,SAC,NBA,37:25,8.0,12.0,0.0,0.0,8.0,12.0,5.0,7.0,6.0,11.0,16.0,3.0,3.0,3.0,5.0,6.0,19.0,18.4
2014-15,28.0,SAC,NBA,38:01,9.0,15.0,0.0,1.0,9.0,15.0,9.0,11.0,7.0,15.0,22.0,4.0,3.0,4.0,4.0,6.0,23.0,24.2
2015-16,29.0,TOT,NBA,27:41,5.0,12.0,2.0,4.0,4.0,8.0,5.0,8.0,5.0,7.0,10.0,3.0,2.0,2.0,2.0,5.0,12.0,9.0
2015-16,29.0,GSW,NBA,12:49,3.0,4.0,0.0,0.0,3.0,4.0,5.0,8.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,9.0,7.3
2015-16,29.0,TOR,NBA,27:41,5.0,12.0,2.0,4.0,4.0,8.0,4.0,5.0,5.0,7.0,10.0,2.0,2.0,2.0,2.0,5.0,12.0,9.0
Career,,,,49:44,11.0,20.0,2.0,4.0,11.0,20.0,14.0,15.0,10.0,15.0,22.0,7.0,5.0,4.0,7.0,6.0,27.0,25.8
,,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,SAC,NBA,49:44,11.0,20.0,1.0,2.0,11.0,20.0,14.0,15.0,10.0,15.0,22.0,7.0,5.0,4.0,7.0,6.0,27.0,25.8
1 Season,,GSW,NBA,12:49,3.0,4.0,0.0,0.0,3.0,4.0,5.0,8.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,9.0,7.3
1 Season,,TOR,NBA,27:41,5.0,12.0,2.0,4.0,4.0,8.0,4.0,5.0,5.0,7.0,10.0,2.0,2.0,2.0,2.0,5.0,12.0,9.0
