"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2009-10,21,SAC,NBA,SF,77.0,31.0,1931.0,0.446,13.0,0.698,0.274,0.201,0.057,0.167,0.302,0.48,0.658,0.319,0.474,0.384,0.369,0.564,0.92,0.048,29.0,0.271,0.509,2.0,0.0,
2010-11,22,SAC,NBA,SF,71.0,27.0,1702.0,0.412,15.9,0.548,0.198,0.159,0.059,0.132,0.452,0.445,0.685,0.345,0.188,0.319,0.372,0.714,0.967,0.049,27.0,0.344,0.459,3.0,0.0,
2011-12,23,CLE,NBA,SF,65.0,35.0,1341.0,0.403,13.0,0.592,0.32,0.165,0.063,0.044,0.408,0.463,0.553,0.338,0.308,0.5,0.315,0.655,0.906,0.061,23.0,0.298,0.32,0.0,0.0,
2012-13,24,CLE,NBA,SF,43.0,1.0,503.0,0.394,16.2,0.525,0.219,0.119,0.056,0.131,0.475,0.452,0.457,0.368,0.444,0.524,0.329,0.658,0.96,0.013,2.0,0.171,0.385,0.0,0.0,
2013-14,25,HOU,NBA,PF,71.0,2.0,1283.0,0.422,14.2,0.571,0.222,0.239,0.049,0.059,0.429,0.479,0.692,0.388,0.25,0.25,0.347,0.696,0.902,0.032,12.0,0.222,0.359,0.0,0.0,
2014-15,26,SAC,NBA,SF,67.0,19.0,1416.0,0.489,8.0,0.796,0.382,0.358,0.035,0.021,0.204,0.512,0.724,0.34,0.133,0.222,0.402,0.667,0.914,0.063,25.0,0.149,0.385,0.0,0.0,
2015-16,27,SAC,NBA,PF,69.0,21.0,1880.0,0.481,13.0,0.559,0.28,0.256,0.023,0.003,0.441,0.537,0.661,0.44,0.214,0.0,0.409,0.663,0.857,0.05,29.0,0.168,0.435,1.0,0.0,
2016-17,28,3TM,NBA,PF,36.0,2.0,643.0,0.47,10.1,0.738,0.433,0.287,0.018,0.006,0.262,0.512,0.62,0.383,0.0,0.0,0.349,0.726,1.0,0.043,6.0,0.209,0.333,0.0,0.0,
2016-17,28,SAC,NBA,PF,22.0,2.0,397.0,0.453,8.8,0.752,0.453,0.274,0.017,0.009,0.248,0.477,0.604,0.313,0.0,0.0,0.379,0.69,1.0,0.034,3.0,0.172,0.4,0.0,0.0,
2016-17,28,NOP,NBA,PF,1.0,0.0,24.0,0.556,12.3,0.556,0.444,0.111,0.0,0.0,0.444,0.6,0.5,1.0,,,0.5,0.667,1.0,0.111,1.0,0.25,0.0,0.0,0.0,
2016-17,28,MIN,NBA,PF,13.0,0.0,222.0,0.5,9.2,0.737,0.368,0.368,0.026,0.0,0.263,0.607,0.714,0.5,0.0,,0.2,0.824,1.0,0.053,2.0,0.3,0.333,0.0,0.0,
2017-18,29,GSW,NBA,SF,53.0,7.0,740.0,0.58,6.1,0.894,0.507,0.3,0.082,0.005,0.106,0.595,0.705,0.452,0.471,0.0,0.455,0.791,1.0,0.053,10.0,0.227,0.8,1.0,0.0,
2018-19,30,MEM,NBA,SF,36.0,0.0,520.0,0.534,9.1,0.733,0.46,0.255,0.019,0.0,0.267,0.602,0.784,0.317,0.0,,0.349,0.761,1.0,0.099,16.0,0.14,0.333,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,588.0,145.0,11959.0,0.454,11.6,0.646,0.301,0.23,0.047,0.069,0.354,0.502,0.665,0.371,0.305,0.362,0.368,0.673,0.919,0.051,179.0,0.24,0.424,7.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,20.0,1668.0,0.454,11.6,0.646,0.301,0.23,0.047,0.069,0.354,0.502,0.665,0.371,0.305,0.362,0.368,0.673,0.919,0.051,25.0,0.24,0.424,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (5 Yrs),SAC (5 Yrs),SAC (5 Yrs),SAC (5 Yrs),,306.0,100.0,7326.0,0.456,11.7,0.648,0.286,0.237,0.042,0.082,0.352,0.493,0.674,0.362,0.287,0.347,0.387,0.645,0.914,0.051,113.0,0.243,0.461,6.0,0.0,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,108.0,36.0,1844.0,0.4,14.6,0.573,0.292,0.152,0.061,0.068,0.427,0.46,0.533,0.345,0.343,0.513,0.32,0.656,0.923,0.047,25.0,0.258,0.333,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,71.0,2.0,1283.0,0.422,14.2,0.571,0.222,0.239,0.049,0.059,0.429,0.479,0.692,0.388,0.25,0.25,0.347,0.696,0.902,0.032,12.0,0.222,0.359,0.0,0.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,53.0,7.0,740.0,0.58,6.1,0.894,0.507,0.3,0.082,0.005,0.106,0.595,0.705,0.452,0.471,0.0,0.455,0.791,1.0,0.053,10.0,0.227,0.8,1.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,36.0,0.0,520.0,0.534,9.1,0.733,0.46,0.255,0.019,0.0,0.267,0.602,0.784,0.317,0.0,,0.349,0.761,1.0,0.099,16.0,0.14,0.333,0.0,0.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,13.0,0.0,222.0,0.5,9.2,0.737,0.368,0.368,0.026,0.0,0.263,0.607,0.714,0.5,0.0,,0.2,0.824,1.0,0.053,2.0,0.3,0.333,0.0,0.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,1.0,0.0,24.0,0.556,12.3,0.556,0.444,0.111,0.0,0.0,0.444,0.6,0.5,1.0,,,0.5,0.667,1.0,0.111,1.0,0.25,0.0,0.0,0.0,
