Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,27,BOS,NBA,PF,4.0,0.0,68.0,3.8,11.3,0.333,0.0,3.0,0.0,3.8,8.3,0.455,0.333,0.8,1.5,0.5,3.0,7.6,10.6,0.8,1.5,0.8,2.3,6.8,8.3,72.0,110.0,
2015-16,28,BOS,NBA,PF,6.0,4.0,162.0,6.6,13.9,0.478,2.1,6.6,0.318,4.5,7.2,0.625,0.554,1.2,1.5,0.8,2.1,10.2,12.4,3.0,0.6,1.2,1.5,4.5,16.6,111.0,101.0,
2016-17,29,BOS,NBA,PF,12.0,0.0,128.0,6.0,12.4,0.484,2.0,6.0,0.333,4.0,6.4,0.625,0.565,3.2,3.2,1.0,2.8,8.8,11.6,4.8,2.0,1.2,2.4,5.2,17.2,122.0,112.0,
2017-18,30,UTA,NBA,PF,10.0,0.0,79.0,5.0,11.8,0.421,0.6,3.7,0.167,4.4,8.1,0.538,0.447,1.2,1.2,1.0,2.5,7.5,9.9,1.9,1.9,0.0,0.6,5.6,11.8,107.0,108.0,
2018-19,31,GSW,NBA,PF,16.0,0.0,121.0,4.9,17.1,0.286,2.0,7.7,0.263,2.9,9.4,0.304,0.345,2.0,2.4,0.833,6.1,7.7,13.9,4.9,0.4,0.8,0.8,3.7,13.9,106.0,115.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,48.0,4.0,558.0,5.5,13.7,0.405,1.6,5.9,0.273,3.9,7.8,0.506,0.464,1.8,2.1,0.87,3.3,8.7,12.0,3.4,1.2,0.9,1.5,4.9,14.5,108.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,22.0,4.0,358.0,5.9,12.9,0.457,1.7,5.7,0.293,4.2,7.1,0.588,0.522,1.8,2.1,0.867,2.5,9.2,11.8,3.2,1.3,1.1,2.0,5.2,15.3,109.0,106.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,16.0,0.0,121.0,4.9,17.1,0.286,2.0,7.7,0.263,2.9,9.4,0.304,0.345,2.0,2.4,0.833,6.1,7.7,13.9,4.9,0.4,0.8,0.8,3.7,13.9,106.0,115.0,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,10.0,0.0,79.0,5.0,11.8,0.421,0.6,3.7,0.167,4.4,8.1,0.538,0.447,1.2,1.2,1.0,2.5,7.5,9.9,1.9,1.9,0.0,0.6,5.6,11.8,107.0,108.0,
