"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2010-11,22,NYK,NBA,SG,82.0,81.0,2541.0,0.0,76.0,24.0,0.0,0.0,2.0,2.3,49.0,32.0,53.0,9.0,69.0,13.0,374.0,13.0,36.0,ROY-4
2011-12,23,NYK,NBA,SG,66.0,62.0,1894.0,0.0,49.0,50.0,2.0,0.0,5.8,6.0,55.0,25.0,42.0,12.0,64.0,7.0,383.0,13.0,36.0,
2012-13,24,TOR,NBA,SF,51.0,22.0,1037.0,0.0,1.0,56.0,43.0,0.0,0.0,2.1,14.0,16.0,31.0,5.0,26.0,3.0,143.0,7.0,21.0,
2013-14,25,TOR,NBA,SF,30.0,2.0,322.0,0.0,8.0,78.0,15.0,0.0,-0.1,-4.1,5.0,2.0,13.0,0.0,12.0,2.0,47.0,3.0,6.0,
2014-15,26,TOR,NBA,SF,26.0,9.0,216.0,2.0,11.0,87.0,0.0,0.0,-19.0,-23.5,4.0,2.0,4.0,0.0,3.0,2.0,35.0,1.0,2.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,255.0,176.0,6010.0,0.0,48.0,43.0,9.0,0.0,2.0,2.2,127.0,77.0,143.0,26.0,174.0,27.0,982.0,37.0,101.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,57.0,1933.0,0.0,48.0,43.0,9.0,0.0,2.0,2.2,41.0,25.0,46.0,8.0,56.0,9.0,316.0,12.0,32.0,
,,,,,,,,,,,,,,,,,,,,,,,,
TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),,107.0,33.0,1575.0,0.0,3.0,65.0,32.0,0.0,-2.6,-2.7,23.0,20.0,48.0,5.0,41.0,7.0,225.0,11.0,29.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,148.0,143.0,4435.0,0.0,64.0,35.0,1.0,0.0,3.6,3.9,104.0,57.0,95.0,21.0,133.0,20.0,757.0,26.0,72.0,
