"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Iman Shumpert,,2.4,2.0,2.0,1.9,1.7,1.5,1.4,0.0,0.0,0.0
Trey Burke,84.7,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,
John Crotty,84.4,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,-0.1
Ledell Eackles,80.3,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,
Garrett Temple,80.1,2.7,2.4,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Mike Bratz,79.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,
Josh Okogie,77.8,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,,
Marko JariÄ,77.2,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,
Randy Brown,76.2,2.4,1.9,1.8,1.6,1.5,1.0,0.9,0.4,0.3,-0.8
Willie Green,76.1,2.5,2.4,2.3,2.2,2.1,1.8,0.1,0.0,-0.1,-0.7
Lonzo Ball,74.6,3.2,2.4,2.2,2.0,1.6,1.2,,,,
