"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2013-14,23,POR,NBA,PG,11.0,11.0,466.0,0.439,0.471,0.386,0.511,0.894,0.578,0.349,0.37,97.0,97.0,107.0,102.0,118.0,107.0,123.0,143.0,
2014-15,24,POR,NBA,PG,5.0,5.0,201.0,0.406,0.523,0.161,0.432,0.781,0.491,0.333,0.323,90.0,108.0,46.0,87.0,104.0,92.0,122.0,120.0,
2015-16,25,POR,NBA,PG,11.0,11.0,437.0,0.368,0.348,0.393,0.455,0.91,0.527,0.322,0.442,81.0,71.0,111.0,90.0,120.0,97.0,117.0,155.0,
2016-17,26,POR,NBA,PG,4.0,4.0,151.0,0.433,0.517,0.281,0.483,0.96,0.55,0.278,0.356,95.0,103.0,79.0,94.0,124.0,99.0,103.0,112.0,
2017-18,27,POR,NBA,PG,4.0,4.0,162.0,0.352,0.39,0.3,0.415,0.882,0.471,0.239,0.423,77.0,76.0,83.0,80.0,115.0,85.0,95.0,125.0,
2018-19,28,POR,NBA,PG,16.0,16.0,650.0,0.418,0.459,0.373,0.508,0.833,0.566,0.345,0.479,91.0,88.0,105.0,97.0,109.0,101.0,134.0,133.0,
2019-20,29,POR,NBA,PG,4.0,4.0,143.0,0.406,0.419,0.394,0.508,0.97,0.618,0.516,0.516,88.0,80.0,110.0,96.0,125.0,109.0,198.0,134.0,
2020-21,30,POR,NBA,PG,6.0,6.0,248.0,0.463,0.482,0.449,0.593,0.94,0.66,0.373,0.582,99.0,91.0,122.0,110.0,121.0,115.0,151.0,149.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,33,MIL,NBA,PG,4.0,4.0,156.0,0.42,0.424,0.417,0.543,0.974,0.64,0.469,0.593,88.0,78.0,114.0,99.0,124.0,110.0,192.0,150.0,
2024-25,34,MIL,NBA,PG,3.0,3.0,75.0,0.222,0.273,0.188,0.278,0.857,0.349,0.259,0.593,48.0,50.0,52.0,51.0,110.0,61.0,107.0,141.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,68.0,68.0,2689.0,0.409,0.442,0.368,0.492,0.893,0.562,0.347,0.455,89.0,87.0,103.0,95.0,117.0,101.0,132.0,139.0,
,,,,,,,,,,,,,,,,,,,,,,,,
POR (8 Yrs),POR (8 Yrs),POR (8 Yrs),POR (8 Yrs),,61.0,61.0,2458.0,0.412,0.446,0.369,0.494,0.887,0.561,0.341,0.443,90.0,89.0,103.0,96.0,116.0,102.0,128.0,138.0,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,7.0,7.0,231.0,0.37,0.386,0.359,0.477,0.956,0.571,0.417,0.593,79.0,71.0,98.0,87.0,122.0,99.0,171.0,148.0,
