Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,20,ORL,NBA,PG,82,63,2489,4.4,10.2,.425,0.2,0.6,.262,4.2,9.6,.435,.433,1.7,3.1,.551,1.5,3.5,5.0,7.7,2.1,0.3,2.9,2.8,10.6,ROY-4
2015-16,21,ORL,NBA,PG,73,69,2145,5.3,12.3,.436,0.5,1.5,.326,4.8,10.7,.451,.456,1.9,3.2,.589,1.3,3.1,4.4,7.9,1.5,0.3,3.0,2.7,13.1,
2016-17,22,ORL,NBA,PG,82,58,2412,6.4,13.6,.471,0.6,2.2,.274,5.8,11.4,.509,.493,2.2,3.1,.692,1.3,4.4,5.8,7.9,1.3,0.6,2.7,2.6,15.6,
2017-18,23,2TM,NBA,PG,63,63,1808,6.6,13.3,.493,0.6,1.8,.326,6.0,11.4,.520,.516,2.2,3.3,.649,1.3,4.2,5.5,7.8,1.7,0.4,3.3,2.9,15.9,
2017-18,23,ORL,NBA,PG,44,44,1257,6.8,13.1,.520,0.7,1.9,.373,6.1,11.2,.545,.547,2.1,3.3,.632,1.3,3.6,5.0,7.9,1.8,0.5,3.3,2.8,16.4,
2017-18,23,PHO,NBA,PG,19,19,551,5.9,13.7,.435,0.3,1.6,.200,5.6,12.0,.467,.447,2.4,3.5,.685,1.1,5.4,6.5,7.7,1.2,0.4,3.5,3.3,14.6,
2018-19,24,NOP,NBA,PG,42,42,1250,5.2,11.9,.434,1.0,3.0,.314,4.2,8.8,.476,.475,1.6,2.1,.743,1.4,4.9,6.3,9.2,1.3,0.5,3.2,2.3,12.8,
2019-20,25,NYK,NBA,PG,45,36,1246,5.6,12.7,.439,0.4,2.0,.203,5.2,10.7,.482,.455,1.4,2.5,.570,1.5,4.6,6.1,9.3,2.0,0.5,2.8,2.6,13.0,
2020-21,26,NYK,NBA,PG,63,63,1484,6.5,15.1,.432,0.7,2.4,.286,5.8,12.7,.460,.455,1.8,2.6,.682,1.6,3.7,5.2,4.9,1.1,0.2,2.5,2.8,15.5,
2021-22,27,PHO,NBA,PG,50,1,549,4.4,11.5,.383,0.3,1.2,.222,4.1,10.3,.401,.394,0.8,2.1,.375,1.4,4.4,5.8,6.5,1.6,0.4,3.1,2.5,9.8,
2022-23,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2023-24,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2024-25,30,2TM,NBA,PG,24,9,511,2.8,8.6,.328,0.1,0.4,.167,2.7,8.2,.336,.332,0.3,0.5,.571,1.1,4.5,5.6,11.7,1.7,0.8,4.2,2.5,6.0,
2024-25,30,NOP,NBA,PG,18,7,388,3.4,9.4,.366,0.1,0.6,.167,3.3,8.8,.379,.371,0.4,0.6,.571,1.3,4.8,6.1,13.5,1.7,0.7,4.8,2.2,7.3,
2024-25,30,CHO,NBA,PG,6,2,123,0.9,6.1,.143,0.0,0.0,,0.9,6.1,.143,.143,0.0,0.0,,0.3,3.5,3.8,5.9,1.8,0.9,2.0,3.5,1.8,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,524,404,13894,5.5,12.4,.444,0.5,1.7,.286,5.0,10.7,.470,.464,1.8,2.8,.623,1.4,4.0,5.4,7.9,1.6,0.4,3.0,2.7,13.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),,281,234,8303,5.6,12.2,.458,0.5,1.5,.305,5.1,10.7,.480,.477,1.9,3.2,.615,1.4,3.7,5.1,7.8,1.7,0.4,2.9,2.7,13.6,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,108,99,2730,6.1,14.0,.435,0.6,2.2,.251,5.5,11.8,.469,.455,1.6,2.5,.632,1.5,4.1,5.6,6.9,1.5,0.3,2.6,2.7,14.3,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,69,20,1100,5.2,12.6,.411,0.3,1.4,.209,4.9,11.2,.437,.423,1.6,2.8,.570,1.2,4.9,6.2,7.1,1.4,0.4,3.3,2.9,12.2,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,60,49,1638,4.7,11.3,.421,0.7,2.4,.306,4.0,8.8,.453,.454,1.3,1.8,.728,1.4,4.9,6.3,10.2,1.4,0.5,3.6,2.3,11.5,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,6,2,123,0.9,6.1,.143,0.0,0.0,,0.9,6.1,.143,.143,0.0,0.0,,0.3,3.5,3.8,5.9,1.8,0.9,2.0,3.5,1.8,
