"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2015-16,22,DAL,NBA,SF,55,9,647,.406,.533,.265,.469,.800,.522,.314,.474,90,108,75,93,106,96,114,167,-11.9,-7.6,
2016-17,23,2TM,NBA,SF,75,10,1228,.424,.522,.299,.490,.791,.537,.294,.442,93,104,84,95,102,97,109,140,-21.0,-15.7,
2016-17,23,DAL,NBA,SF,51,2,710,.401,.477,.303,.468,.795,.521,.318,.440,88,95,85,91,103,94,117,139,-25.6,-19.8,
2016-17,23,PHI,NBA,SF,24,8,518,.463,.600,.292,.528,.780,.564,.253,.444,101,119,82,103,101,102,94,141,4.6,4.1,
2017-18,24,PHI,NBA,SF,38,0,519,.431,.535,.330,.515,.737,.540,.188,.510,94,105,91,99,96,97,75,151,-2.6,-7.3,
2018-19,25,ATL,NBA,SF,48,4,463,.408,.500,.312,.484,.743,.516,.223,.490,89,96,88,92,97,92,86,137,-12.6,-15.0,
2019-20,26,BRK,NBA,SG,10,1,107,.263,.444,.207,.342,.500,.352,.105,.763,57,85,58,65,65,62,40,199,-14.2,-16.9,
2020-21,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived,Did not play - waived
2021-22,28,2TM,NBA,SF,16,6,316,.379,.583,.254,.458,.789,.493,.200,.621,82,110,72,86,102,87,81,156,-14.0,-15.0,
2021-22,28,CLE,NBA,SF,3,0,47,.500,1.000,.333,.625,.750,.666,.500,.750,108,188,94,118,97,118,201,188,1.5,2.0,
2021-22,28,IND,NBA,SF,13,6,269,.368,.559,.245,.443,.800,.475,.172,.609,80,105,69,83,103,84,69,153,-15.5,-17.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,242,30,3280,.410,.526,.292,.482,.775,.522,.253,.493,89,104,82,93,101,94,95,149,-76.3,-77.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,106,11,1357,.403,.498,.288,.468,.797,.521,.316,.454,89,100,81,92,104,95,116,150,-37.5,-27.4,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,62,8,1037,.445,.566,.314,.521,.759,.550,.217,.481,97,112,87,101,99,99,83,147,2.0,-3.2,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,48,4,463,.408,.500,.312,.484,.743,.516,.223,.490,89,96,88,92,97,92,86,137,-12.6,-15.0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,13,6,269,.368,.559,.245,.443,.800,.475,.172,.609,80,105,69,83,103,84,69,153,-15.5,-17.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,10,1,107,.263,.444,.207,.342,.500,.352,.105,.763,57,85,58,65,65,62,40,199,-14.2,-16.9,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,3,0,47,.500,1.000,.333,.625,.750,.666,.500,.750,108,188,94,118,97,118,201,188,1.5,2.0,
