Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2015-16,22,TOR,NBA,SG,18.0,3.0,11.4,1.5,3.9,0.386,0.4,1.4,0.269,1.1,2.4,0.455,0.436,0.4,0.4,0.875,0.2,1.3,1.5,0.3,0.7,0.1,0.3,1.0,3.8,
2016-17,23,TOR,NBA,SG,9.0,5.0,25.2,3.9,9.1,0.427,1.7,3.8,0.441,2.2,5.3,0.417,0.518,2.2,2.7,0.833,0.6,2.6,3.1,1.6,1.1,0.3,1.7,2.8,11.7,
2017-18,24,TOR,NBA,SG,6.0,0.0,6.7,0.7,2.3,0.286,0.2,1.2,0.143,0.5,1.2,0.429,0.321,0.5,0.7,0.75,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.7,2.0,
2018-19,25,TOR,NBA,SG,23.0,0.0,15.9,2.4,5.5,0.444,1.0,2.7,0.387,1.4,2.8,0.5,0.54,0.6,0.8,0.737,0.2,2.0,2.2,1.1,0.4,0.0,0.5,1.3,6.5,
2019-20,26,TOR,NBA,SG,11.0,0.0,24.8,4.6,9.5,0.49,2.0,4.7,0.423,2.6,4.7,0.558,0.596,2.1,2.6,0.793,0.4,2.0,2.4,1.0,0.5,0.3,1.0,2.6,13.4,
2020-21,27,POR,NBA,SF,6.0,6.0,36.0,6.3,12.7,0.5,1.7,4.3,0.385,4.7,8.3,0.56,0.566,2.7,3.0,0.889,0.5,1.7,2.2,2.0,0.8,1.0,1.2,2.8,17.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAC,NBA,SG,5.0,3.0,33.4,7.2,15.2,0.474,2.6,6.4,0.406,4.6,8.8,0.523,0.559,4.8,6.2,0.774,0.8,2.2,3.0,2.2,0.8,0.4,1.6,3.2,21.8,
2023-24,30,LAC,NBA,SG,6.0,0.0,29.8,4.3,10.2,0.426,2.2,4.8,0.448,2.2,5.3,0.406,0.533,2.0,2.5,0.8,0.5,2.3,2.8,0.3,0.5,0.0,1.2,3.3,12.8,
2024-25,31,LAC,NBA,SG,7.0,7.0,34.0,6.0,12.7,0.472,2.0,5.7,0.35,4.0,7.0,0.571,0.551,2.0,2.6,0.778,0.1,2.3,2.4,2.4,1.1,0.3,1.7,2.1,16.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,91.0,24.0,21.0,3.5,7.7,0.451,1.3,3.4,0.386,2.2,4.3,0.503,0.537,1.5,1.8,0.801,0.3,1.8,2.2,1.1,0.6,0.2,0.9,1.9,9.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (5 Yrs),TOR (5 Yrs),TOR (5 Yrs),TOR (5 Yrs),,67.0,8.0,16.6,2.6,5.9,0.437,1.0,2.7,0.381,1.6,3.2,0.484,0.524,1.0,1.3,0.798,0.3,1.7,2.0,0.9,0.6,0.1,0.7,1.6,7.2,
LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),,18.0,10.0,32.4,5.8,12.6,0.46,2.2,5.6,0.396,3.6,6.9,0.512,0.549,2.8,3.6,0.781,0.4,2.3,2.7,1.7,0.8,0.2,1.5,2.8,16.6,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,6.0,6.0,36.0,6.3,12.7,0.5,1.7,4.3,0.385,4.7,8.3,0.56,0.566,2.7,3.0,0.889,0.5,1.7,2.2,2.0,0.8,1.0,1.2,2.8,17.0,
