Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,20,TOR,NBA,SF,10.0,10.0,238.0,4.4,7.9,0.558,2.0,4.4,0.448,2.4,3.5,0.696,0.683,1.2,1.7,0.727,1.4,1.8,3.2,1.1,0.9,0.6,0.9,3.5,11.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,22,TOR,NBA,SF,11.0,11.0,393.0,3.7,8.1,0.455,1.6,3.8,0.415,2.1,4.3,0.489,0.551,1.6,2.6,0.643,2.4,4.6,7.0,1.2,1.0,1.2,1.5,2.5,10.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,24,TOR,NBA,SF,6.0,6.0,217.0,6.5,13.6,0.476,2.3,6.8,0.341,4.1,6.8,0.61,0.561,2.0,2.7,0.75,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,26,NYK,NBA,SF,9.0,9.0,324.0,6.2,12.3,0.505,1.8,4.3,0.41,4.4,8.0,0.556,0.577,0.9,1.4,0.615,0.8,5.2,6.0,1.1,0.9,1.0,1.1,1.7,15.1,
2024-25,27,NYK,NBA,PF,18.0,18.0,705.0,5.3,12.6,0.417,2.1,6.2,0.339,3.2,6.4,0.492,0.5,2.4,3.0,0.81,1.2,3.0,4.2,1.2,1.8,1.1,1.5,2.5,15.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,54.0,54.0,1877.0,5.1,11.1,0.46,1.9,5.2,0.373,3.2,5.9,0.537,0.547,1.8,2.4,0.738,1.4,3.5,4.9,1.3,1.3,0.9,1.4,2.5,14.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),,27.0,27.0,848.0,4.6,9.4,0.486,1.9,4.7,0.396,2.7,4.7,0.577,0.586,1.6,2.3,0.691,1.8,3.4,5.1,1.5,1.0,0.8,1.4,2.9,12.7,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,27.0,27.0,1029.0,5.6,12.5,0.444,2.0,5.6,0.356,3.6,6.9,0.515,0.524,1.9,2.5,0.775,1.1,3.7,4.8,1.2,1.5,1.1,1.4,2.2,15.0,
