Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2017-18,20,TOR,NBA,SF,74.0,62.0,1481.0,163.0,346.0,0.471,73.0,197.0,0.371,90.0,149.0,0.604,0.577,39.0,62.0,0.629,44.0,140.0,184.0,55.0,52.0,14.0,45.0,130.0,438.0,0.0,
2018-19,21,TOR,NBA,SF,67.0,6.0,1352.0,183.0,404.0,0.453,67.0,202.0,0.332,116.0,202.0,0.574,0.536,36.0,62.0,0.581,58.0,139.0,197.0,47.0,46.0,22.0,55.0,140.0,469.0,0.0,
2019-20,22,TOR,NBA,SF,69.0,68.0,2066.0,286.0,566.0,0.505,89.0,228.0,0.39,197.0,338.0,0.583,0.584,72.0,102.0,0.706,80.0,284.0,364.0,108.0,96.0,45.0,79.0,167.0,733.0,0.0,
2020-21,23,TOR,NBA,SF,43.0,43.0,1433.0,249.0,519.0,0.48,104.0,261.0,0.398,145.0,258.0,0.562,0.58,80.0,102.0,0.784,54.0,183.0,237.0,94.0,66.0,32.0,75.0,114.0,682.0,0.0,
2021-22,24,TOR,NBA,SF,48.0,48.0,1728.0,309.0,697.0,0.443,115.0,317.0,0.363,194.0,380.0,0.511,0.526,89.0,118.0,0.754,74.0,190.0,264.0,125.0,71.0,25.0,80.0,131.0,822.0,0.0,
2022-23,25,TOR,NBA,SF,67.0,67.0,2386.0,421.0,885.0,0.476,142.0,367.0,0.387,279.0,518.0,0.539,0.556,140.0,167.0,0.838,95.0,237.0,332.0,131.0,128.0,50.0,132.0,200.0,1124.0,0.0,"DPOY-7,DEF2"
2023-24,26,2TM,NBA,SF,50.0,50.0,1702.0,282.0,577.0,0.489,102.0,267.0,0.382,180.0,310.0,0.581,0.577,67.0,89.0,0.753,47.0,161.0,208.0,107.0,68.0,36.0,81.0,119.0,733.0,0.0,
2023-24,26,TOR,NBA,SF,27.0,27.0,900.0,157.0,321.0,0.489,61.0,163.0,0.374,96.0,158.0,0.608,0.584,33.0,46.0,0.717,24.0,82.0,106.0,72.0,28.0,13.0,43.0,62.0,408.0,0.0,
2023-24,26,NYK,NBA,SF,23.0,23.0,802.0,125.0,256.0,0.488,41.0,104.0,0.394,84.0,152.0,0.553,0.568,34.0,43.0,0.791,23.0,79.0,102.0,35.0,40.0,23.0,38.0,57.0,325.0,0.0,
2024-25,27,NYK,NBA,PF,74.0,74.0,2706.0,489.0,1027.0,0.476,171.0,460.0,0.372,318.0,567.0,0.561,0.559,183.0,226.0,0.81,97.0,261.0,358.0,164.0,110.0,65.0,102.0,172.0,1332.0,0.0,
2025-26,28,NYK,NBA,PF,12.0,12.0,373.0,70.0,147.0,0.476,31.0,79.0,0.392,39.0,68.0,0.574,0.582,19.0,25.0,0.76,19.0,48.0,67.0,26.0,23.0,8.0,22.0,28.0,190.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,504.0,430.0,15227.0,2452.0,5168.0,0.474,894.0,2378.0,0.376,1558.0,2790.0,0.558,0.561,725.0,953.0,0.761,568.0,1643.0,2211.0,857.0,660.0,297.0,671.0,1201.0,6523.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,70.0,2477.0,399.0,841.0,0.474,145.0,387.0,0.376,253.0,454.0,0.558,0.561,118.0,155.0,0.761,92.0,267.0,360.0,139.0,107.0,48.0,109.0,195.0,1061.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),,395.0,321.0,11346.0,1768.0,3738.0,0.473,651.0,1735.0,0.375,1117.0,2003.0,0.558,0.56,489.0,659.0,0.742,429.0,1255.0,1684.0,632.0,487.0,201.0,509.0,944.0,4676.0,0.0,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,109.0,109.0,3881.0,684.0,1430.0,0.478,243.0,643.0,0.378,441.0,787.0,0.56,0.563,236.0,294.0,0.803,139.0,388.0,527.0,225.0,173.0,96.0,162.0,257.0,1847.0,0.0,
