"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jalen Brunson,,11.2,8.7,8.3,7.5,5.1,2.6,2.1,,,,,
Max Zaslofsky,83.6,10.2,9.6,9.4,8.4,3.7,2.7,1.7,1.7,0.6,0.3,,
Phil Chenier,83.4,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1,,
Doug Collins,83.3,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,,
Isaiah Thomas,82.8,12.5,9.7,7.7,6.1,5.0,4.3,0.2,0.2,0.0,0.0,-0.2,-0.3
Tyrese Haliburton,81.9,10.4,9.0,7.6,7.0,3.5,,,,,,,
Kerry Kittles,80.5,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,,,,
Jim Paxson,80.3,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,
Derrick White,79.6,8.5,8.5,7.4,5.1,4.2,3.6,1.9,0.5,,,,
Luka DonÄiÄ,79.4,12.0,10.2,8.8,7.7,7.6,5.9,4.9,,,,,
Trae Young,78.9,10.0,7.2,6.7,5.9,5.7,4.6,3.3,,,,,
