"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2018-19,21,LAC,NBA,SG,6.0,6.0,174.0,0.342,22.3,0.184,0.053,0.105,0.026,0.0,0.816,0.429,0.5,0.25,1.0,,0.323,0.667,1.0,0.026,1.0,0.129,0.5,0.0,0.0,
2019-20,22,LAC,NBA,SG,13.0,4.0,243.0,0.407,19.2,0.288,0.169,0.068,0.017,0.034,0.712,0.529,0.7,0.25,1.0,0.0,0.357,0.889,1.0,0.051,2.0,0.381,0.438,0.0,0.0,
2020-21,23,BRK,NBA,SG,12.0,0.0,206.0,0.439,18.3,0.366,0.171,0.098,0.024,0.073,0.634,0.533,0.714,0.25,1.0,0.333,0.385,0.75,0.9,0.049,2.0,0.269,0.286,0.0,0.0,
2021-22,24,PHO,NBA,SG,12.0,0.0,192.0,0.396,18.5,0.458,0.063,0.146,0.125,0.125,0.542,0.455,1.0,0.429,0.5,0.167,0.346,0.7,0.889,0.083,4.0,0.269,0.429,0.0,0.0,
2022-23,25,PHO,NBA,SG,10.0,1.0,184.0,0.378,18.4,0.356,0.044,0.244,0.022,0.044,0.644,0.375,0.5,0.364,1.0,0.0,0.379,0.667,0.909,0.022,1.0,0.345,0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,27,NYK,NBA,SG,11.0,0.0,83.0,0.45,21.4,0.25,0.15,0.0,0.0,0.1,0.75,0.4,0.333,,,0.5,0.467,1.0,1.0,0.05,0.0,0.267,0.5,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,64.0,11.0,1082.0,0.398,19.7,0.327,0.108,0.12,0.04,0.06,0.673,0.463,0.667,0.333,0.7,0.2,0.367,0.763,0.952,0.048,10.0,0.284,0.438,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,14.0,1386.0,0.398,19.7,0.327,0.108,0.12,0.04,0.06,0.673,0.463,0.667,0.333,0.7,0.2,0.367,0.763,0.952,0.048,13.0,0.284,0.438,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,22.0,1.0,376.0,0.387,18.5,0.409,0.054,0.194,0.075,0.086,0.591,0.421,0.8,0.389,0.571,0.125,0.364,0.688,0.9,0.054,5.0,0.309,0.471,0.0,0.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,19.0,10.0,417.0,0.381,20.8,0.247,0.124,0.082,0.021,0.021,0.753,0.5,0.667,0.25,1.0,0.0,0.342,0.833,1.0,0.041,3.0,0.274,0.45,0.0,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,12.0,0.0,206.0,0.439,18.3,0.366,0.171,0.098,0.024,0.073,0.634,0.533,0.714,0.25,1.0,0.333,0.385,0.75,0.9,0.049,2.0,0.269,0.286,0.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,11.0,0.0,83.0,0.45,21.4,0.25,0.15,0.0,0.0,0.1,0.75,0.4,0.333,,,0.5,0.467,1.0,1.0,0.05,0.0,0.267,0.5,0.0,0.0,
