Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,19,DEN,NBA,PF,3.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,22,MIN,NBA,PF,6.0,6.0,129.0,13.0,27.0,0.481,0.0,0.0,,13.0,27.0,0.481,0.481,7.0,10.0,0.7,12.0,31.0,43.0,4.0,7.0,2.0,5.0,16.0,33.0,0.0,
2022-23,23,LAL,NBA,PF,15.0,13.0,247.0,24.0,60.0,0.4,7.0,29.0,0.241,17.0,31.0,0.548,0.458,14.0,20.0,0.7,19.0,29.0,48.0,12.0,11.0,12.0,13.0,31.0,69.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,25,LAL,NBA,PF,5.0,0.0,60.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,3.0,4.0,0.75,4.0,15.0,19.0,5.0,3.0,1.0,3.0,9.0,7.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,29.0,19.0,441.0,39.0,93.0,0.419,7.0,30.0,0.233,32.0,63.0,0.508,0.457,24.0,34.0,0.706,35.0,76.0,111.0,21.0,21.0,16.0,21.0,56.0,109.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,54.0,1247.0,110.0,263.0,0.419,20.0,85.0,0.233,90.0,178.0,0.508,0.457,68.0,96.0,0.706,99.0,215.0,314.0,59.0,59.0,45.0,59.0,158.0,308.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,20.0,13.0,307.0,26.0,66.0,0.394,7.0,30.0,0.233,19.0,36.0,0.528,0.447,17.0,24.0,0.708,23.0,44.0,67.0,17.0,14.0,13.0,16.0,40.0,76.0,0.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,6.0,6.0,129.0,13.0,27.0,0.481,0.0,0.0,,13.0,27.0,0.481,0.481,7.0,10.0,0.7,12.0,31.0,43.0,4.0,7.0,2.0,5.0,16.0,33.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,3.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
